scan,potential,current,time
,0.000000e+00,9.479726e-08,
,0.000000e+00,1.895940e-07,
,0.000000e+00,2.843910e-07,
,0.000000e+00,-1.503100e-07,
,0.000000e+00,-1.409160e-07,
,0.000000e+00,-1.221273e-07,
,0.000000e+00,-1.211879e-07,
,0.000000e+00,-1.117935e-07,
,0.000000e+00,-1.061568e-07,
,0.000000e+00,-1.029627e-07,
,0.000000e+00,-9.788974e-08,
,0.000000e+00,-9.366226e-08,
,0.000000e+00,-8.990450e-08,
,0.000000e+00,-8.680434e-08,
,0.000000e+00,-8.407997e-08,
,0.000000e+00,-8.173136e-08,
,0.000000e+00,-7.975854e-08,
,0.000000e+00,-7.797360e-08,
,0.000000e+00,-7.656443e-08,
,0.000000e+00,-7.524922e-08,
,0.000000e+00,-7.421583e-08,
,0.000000e+00,-7.327639e-08,
,0.000000e+00,-7.233694e-08,
,0.000000e+00,-7.158540e-08,
,0.000000e+00,-7.083384e-08,
0,0.000000e+00,-6.876707e-08,
0,-4.953850e-03,-1.221273e-07,
0,-9.907701e-03,-1.597980e-07,
0,-1.486155e-02,-1.740780e-07,
0,-1.981540e-02,-2.137220e-07,
0,-2.476925e-02,-2.164470e-07,
0,-2.972310e-02,-2.657670e-07,
0,-3.467696e-02,-2.641700e-07,
0,-3.963080e-02,-3.202550e-07,
0,-4.458466e-02,-3.173430e-07,
0,-4.953850e-02,-3.806610e-07,
0,-5.449236e-02,-3.767150e-07,
0,-5.944621e-02,-4.452940e-07,
0,-6.440006e-02,-4.416310e-07,
0,-6.935391e-02,-5.147190e-07,
0,-7.430775e-02,-5.116190e-07,
0,-7.926161e-02,-5.866800e-07,
0,-8.421546e-02,-5.874320e-07,
0,-8.916931e-02,-6.596750e-07,
0,-9.412316e-02,-6.688810e-07,
0,-9.907701e-02,-7.340790e-07,
0,-1.040309e-01,-7.528670e-07,
0,-1.089847e-01,-8.103610e-07,
0,-1.139386e-01,-8.423020e-07,
0,-1.188924e-01,-8.867380e-07,
0,-1.238463e-01,-9.323010e-07,
0,-1.288001e-01,-9.666840e-07,
0,-1.337540e-01,-1.021172e-06,
0,-1.387070e-01,-1.046255e-06,
0,-1.436610e-01,-1.110794e-06,
0,-1.486150e-01,-1.126295e-06,
0,-1.535690e-01,-1.196284e-06,
0,-1.585230e-01,-1.206711e-06,
0,-1.634770e-01,-1.279988e-06,
0,-1.684300e-01,-1.285061e-06,
0,-1.733840e-01,-1.360780e-06,
0,-1.783380e-01,-1.361531e-06,
0,-1.832920e-01,-1.438378e-06,
0,-1.882460e-01,-1.435841e-06,
0,-1.932000e-01,-1.511936e-06,
0,-1.981540e-01,-1.508178e-06,
0,-2.031070e-01,-1.581360e-06,
0,-2.080610e-01,-1.580609e-06,
0,-2.130150e-01,-1.645806e-06,
0,-2.179690e-01,-1.651255e-06,
0,-2.229230e-01,-1.707621e-06,
0,-2.278770e-01,-1.721525e-06,
0,-2.328300e-01,-1.764363e-06,
0,-2.377840e-01,-1.791889e-06,
0,-2.427380e-01,-1.819884e-06,
0,-2.476920e-01,-1.857368e-06,
0,-2.526460e-01,-1.875499e-06,
0,-2.576000e-01,-1.922002e-06,
0,-2.625540e-01,-1.929423e-06,
0,-2.675070e-01,-1.985226e-06,
0,-2.724610e-01,-1.984756e-06,
