scan,potential,current,time
,0.000000e+00,-2.843910e-07,
,0.000000e+00,-9.479726e-08,
,0.000000e+00,0.000000e+00,
,0.000000e+00,-2.254650e-07,
,0.000000e+00,-2.066760e-07,
,0.000000e+00,-1.878880e-07,
,0.000000e+00,-1.794330e-07,
,0.000000e+00,-1.681590e-07,
,0.000000e+00,-1.606440e-07,
,0.000000e+00,-1.553830e-07,
,0.000000e+00,-1.489950e-07,
,0.000000e+00,-1.434520e-07,
,0.000000e+00,-1.386610e-07,
,0.000000e+00,-1.344330e-07,
,0.000000e+00,-1.306762e-07,
,0.000000e+00,-1.272942e-07,
,0.000000e+00,-1.243820e-07,
,0.000000e+00,-1.217515e-07,
,0.000000e+00,-1.193090e-07,
,0.000000e+00,-1.170543e-07,
,0.000000e+00,-1.150815e-07,
,0.000000e+00,-1.132966e-07,
,0.000000e+00,-1.115116e-07,
,0.000000e+00,-1.100085e-07,
,0.000000e+00,-1.086933e-07,
0,0.000000e+00,-1.051234e-07,
0,-4.953850e-03,-1.532220e-07,
0,-9.907701e-03,-1.778360e-07,
0,-1.486155e-02,-2.073340e-07,
0,-1.981540e-02,-2.227410e-07,
0,-2.476925e-02,-2.480120e-07,
0,-2.972310e-02,-2.610700e-07,
0,-3.467696e-02,-2.863410e-07,
0,-3.963080e-02,-2.993990e-07,
0,-4.458466e-02,-3.257040e-07,
0,-4.953850e-02,-3.398890e-07,
0,-5.449236e-02,-3.674150e-07,
0,-5.944621e-02,-3.826340e-07,
0,-6.440006e-02,-4.107230e-07,
0,-6.935391e-02,-4.281970e-07,
0,-7.430775e-02,-4.560980e-07,
0,-7.926161e-02,-4.762020e-07,
0,-8.421546e-02,-5.035400e-07,
0,-8.916931e-02,-5.260860e-07,
0,-9.412316e-02,-5.527670e-07,
0,-9.907701e-02,-5.777560e-07,
0,-1.040309e-01,-6.029330e-07,
0,-1.089847e-01,-6.316800e-07,
0,-1.139386e-01,-6.561050e-07,
0,-1.188924e-01,-6.866370e-07,
0,-1.238463e-01,-7.107800e-07,
0,-1.288001e-01,-7.433790e-07,
0,-1.337540e-01,-7.668650e-07,
0,-1.387070e-01,-8.011550e-07,
0,-1.436610e-01,-8.244530e-07,
0,-1.486150e-01,-8.594940e-07,
0,-1.535690e-01,-8.830740e-07,
0,-1.585230e-01,-9.187730e-07,
0,-1.634770e-01,-9.423530e-07,
0,-1.684300e-01,-9.785210e-07,
0,-1.733840e-01,-1.002101e-06,
0,-1.783380e-01,-1.038551e-06,
0,-1.832920e-01,-1.062037e-06,
0,-1.882460e-01,-1.098488e-06,
0,-1.932000e-01,-1.121880e-06,
0,-1.981540e-01,-1.157391e-06,
0,-2.031070e-01,-1.182380e-06,
0,-2.080610e-01,-1.216012e-06,
0,-2.130150e-01,-1.242410e-06,
0,-2.179690e-01,-1.274257e-06,
0,-2.229230e-01,-1.301783e-06,
0,-2.278770e-01,-1.330999e-06,
0,-2.328300e-01,-1.360592e-06,
0,-2.377840e-01,-1.387272e-06,
0,-2.427380e-01,-1.418179e-06,
0,-2.476920e-01,-1.442887e-06,
0,-2.526460e-01,-1.474452e-06,
0,-2.576000e-01,-1.497374e-06,
0,-2.625540e-01,-1.529503e-06,
0,-2.675070e-01,-1.550735e-06,
0,-2.724610e-01,-1.583427e-06,
0,-2.774150e-01,-1.603719e-06,
0,-2.823690e-01,-1.635942e-06,
0,-2.873230e-01,-1.654825e-06,
0,-2.922770e-01,-1.687047e-06,
0,-2.972310e-01,-1.705742e-06,
0,-3.021840e-01,-1.737965e-06,
0,-2.972310e-01,-1.646839e-06,
0,-2.922770e-01,-1.584085e-06,
0,-2.873230e-01,-1.514660e-06,
0,-2.823690e-01,-1.463742e-06,
0,-2.774150e-01,-1.402679e-06,
0,-2.724610e-01,-1.356458e-06,
0,-2.675070e-01,-1.303192e-06,
0,-2.625540e-01,-1.260072e-06,
0,-2.576000e-01,-1.212066e-06,
0,-2.526460e-01,-1.171201e-06,
0,-2.476920e-01,-1.128926e-06,
0,-2.427380e-01,-1.088624e-06,
0,-2.377840e-01,-1.051328e-06,
0,-2.328300e-01,-1.010932e-06,
0,-2.278770e-01,-9.775820e-07,
0,-2.229230e-01,-9.387830e-07,
0,-2.179690e-01,-9.080630e-07,
0,-2.130150e-01,-8.689820e-07,
0,-2.080610e-01,-8.415510e-07,
0,-2.031070e-01,-8.029400e-07,
0,-1.981540e-01,-7.770110e-07,
0,-1.932000e-01,-7.392460e-07,
0,-1.882460e-01,-7.151020e-07,
0,-1.832920e-01,-6.778060e-07,
0,-1.783380e-01,-6.544140e-07,
0,-1.733840e-01,-6.177760e-07,
0,-1.684300e-01,-5.952290e-07,
0,-1.634770e-01,-5.594370e-07,
0,-1.585230e-01,-5.373600e-07,
0,-1.535690e-01,-5.023190e-07,
0,-1.486150e-01,-4.806170e-07,
0,-1.436610e-01,-4.468920e-07,
0,-1.387070e-01,-4.242510e-07,
0,-1.337540e-01,-3.930620e-07,
0,-1.288001e-01,-3.697630e-07,
0,-1.238463e-01,-3.407350e-07,
0,-1.188924e-01,-3.162150e-07,
0,-1.139386e-01,-2.904750e-07,
0,-1.089847e-01,-2.639820e-07,
0,-1.040309e-01,-2.414360e-07,
0,-9.907701e-02,-2.141920e-07,
0,-9.412316e-02,-1.942760e-07,
0,-8.916931e-02,-1.669380e-07,
0,-8.421546e-02,-1.487130e-07,
0,-7.926161e-02,-1.211879e-07,
0,-7.430775e-02,-1.052174e-07,
0,-6.935391e-02,-7.816149e-08,
0,-6.440006e-02,-6.360015e-08,
0,-5.944621e-02,-3.767158e-08,
0,-5.449236e-02,-2.470730e-08,
0,-4.953850e-02,5.636640e-10,
0,-4.458466e-02,1.193090e-08,
0,-3.963080e-02,3.626242e-08,
0,-3.467696e-02,4.622049e-08,
0,-2.972310e-02,6.914285e-08,
0,-2.476925e-02,7.834938e-08,
0,-1.981540e-02,9.976862e-08,
0,-1.486155e-02,1.085994e-07,
0,-9.907701e-03,1.278579e-07,
0,-4.953850e-03,1.375340e-07,
0,0.000000e+00,1.537860e-07,
0,4.953850e-03,1.639320e-07,
0,9.907701e-03,1.783050e-07,
0,1.486155e-02,1.899540e-07,
0,1.981540e-02,2.009460e-07,
0,2.476925e-02,2.141920e-07,
0,2.972310e-02,2.226470e-07,
0,3.467696e-02,2.367390e-07,
0,3.963080e-02,2.437840e-07,
0,4.458466e-02,2.585340e-07,
0,4.953850e-02,2.637940e-07,
0,5.449236e-02,2.795770e-07,
0,5.944621e-02,2.834290e-07,
0,6.440006e-02,2.991170e-07,
0,6.935391e-02,3.026870e-07,
0,7.430775e-02,3.183760e-07,
0,7.926161e-02,3.213820e-07,
0,8.421546e-02,3.372590e-07,
0,8.916931e-02,3.400770e-07,
0,9.412316e-02,3.554840e-07,
0,9.907701e-02,3.585840e-07,
0,1.040309e-01,3.748360e-07,
0,1.089847e-01,3.782180e-07,
0,1.139386e-01,3.940010e-07,
0,1.188924e-01,3.991680e-07,
0,1.238463e-01,4.141990e-07,
0,1.288001e-01,4.217150e-07,
0,1.337540e-01,4.359000e-07,
0,1.387070e-01,4.458580e-07,
0,1.436610e-01,4.594800e-07,
0,1.486150e-01,4.732900e-07,
0,1.535690e-01,4.853150e-07,
