Ehalf,Ehalf_err,Ep,abs_skew,branch,dataset,expon,ip,ip_ratio,no_blank,order,peak_over_noise,r2,redchi,sample,scan,sd_height,sigma,skew
0.19072308395841767,0.000723083958417664,0.2873229948550595,26.42345657409487,anodic,ca115_T,132.38983548041725,1.1952128945550633e-07,3.0886856343665627,False,0.4,5.553908065010918,0.69078538771673,0.0014901145078463419,96,0,0.13788160576179498,5.5429708597664895,26.42345657409487
0.19072308395841767,0.000723083958417664,0.0941231730617758,40.78212492655484,cathodic,ca115_T,994.8559954068451,-3.6916368974219017e-07,3.0886856343665627,False,0.4,6.902641124109044,0.9700852290188452,0.0004232075617839952,96,0,0.3370711821128131,27.649432271810266,40.78212492655484
,,0.09412316763285135,42.9624961431864,cathodic,ca115_T,996.9060302221593,-3.8818460126040624e-07,,False,0.45,6.335827389640195,0.964102453728552,0.0005502534064081552,96,0,0.34912671858035504,27.63308948310844,42.9624961431864
,,0.10403094383556868,40.00595880660899,cathodic,ca115_T,969.2715457675515,-4.3929693980079944e-07,,False,0.5,5.389159492950886,0.948793785146725,0.0009528305825972249,96,0,0.3826062652793,28.199074860269892,40.00595880660899
0.19567711068376664,0.00567711068376664,0.2972309999934892,8.462552816870016,anodic,ca115_T,8.07017655666976,1.2188897773832665e-07,3.1362663714267405,False,0.4,7.611319929869027,0.8795093050672895,0.00036329606529416,96,1,0.13571738007608078,1.2105056843513333,8.462552816870016
0.19567711068376664,0.00567711068376664,0.0941232213740441,41.31556363108257,cathodic,ca115_T,992.6006064976756,-3.822763019282965e-07,3.1362663714267405,False,0.4,6.495377710580637,0.9384191463372564,0.0009382482978369501,96,1,0.3468454906606015,28.112671041295204,41.31556363108257
0.19567697276232693,0.005676972762326926,0.28732299957731494,9.518432599981793,anodic,ca115_T,15.820100569291244,1.2793821443280144e-07,3.361197085756054,False,0.45,6.09671698673931,0.8613540795386699,0.0005332872472284669,96,1,0.14590479176578286,1.8724623384467636,9.518432599981793
0.19567697276232693,0.005676972762326926,0.1040309459473389,38.550224264270355,cathodic,ca115_T,957.120498936369,-4.300255535083653e-07,3.361197085756054,False,0.45,5.777700387113522,0.919976581063207,0.001485455248180212,96,1,0.37915920106784196,28.48313738095238,38.550224264270355
0.19567696581661248,0.005676965816612478,0.28732299485128426,8.876697130170555,anodic,ca115_T,13.579505825588347,1.4172476707194765e-07,3.2478068321724867,False,0.5,5.014977614215067,0.8423620147291198,0.0007289187671342829,96,1,0.16035779279469128,1.771061553688194,8.876697130170555
0.19567696581661248,0.005676965816612478,0.10403093678194067,41.044508917869734,cathodic,ca115_T,966.1559695795956,-4.6029466678432587e-07,3.2478068321724867,False,0.5,5.165708104206142,0.9014433379013249,0.0020613881728291615,96,1,0.3975649920366815,28.726886821051362,41.044508917869734
0.19072324323548034,0.000723243235480342,0.297231,9.110987032353364,anodic,ca115_T,7.599228021877144,1.2084873436962486e-07,2.9852752729771934,False,0.4,9.706889598244548,0.8881980736440563,0.00031774896863051436,96,2,0.13407800472615497,1.1340983155074453,9.110987032353364
0.19072324323548034,0.000723243235480342,0.0842154864709607,48.433208263981896,cathodic,ca115_T,999.6125910559434,-3.607667384842302e-07,2.9852752729771934,False,0.4,15.33126733261017,0.9826494880237583,0.00023632342856530082,96,2,0.331649262573106,27.218942056845503,48.433208263981896
0.19567708911988496,0.005677089119884959,0.297231,8.825958132477012,anodic,ca115_T,7.12560453888734,1.3436759889125474e-07,3.0689750419102286,False,0.45,8.051280796141846,0.8713837430303615,0.000440713267223525,96,2,0.14791490992547035,1.1243702593798992,8.825958132477012
0.19567708911988496,0.005677089119884959,0.09412317823976991,44.07126391929228,cathodic,ca115_T,997.8918170107786,-4.123708074386653e-07,3.0689750419102286,False,0.45,14.269004466058096,0.9783512283164177,0.0003587483781535893,96,2,0.3664299075767031,28.463116396879073,44.07126391929228
0.200630950528019,0.01063095052801899,0.297231,8.693598154505366,anodic,ca115_T,6.955808484307177,1.4872871696292655e-07,3.2029638328720824,False,0.5,6.826403384101893,0.8509720037619817,0.0006144003652183022,96,2,0.16225893253100337,1.1412081580047433,8.693598154505366
0.200630950528019,0.01063095052801899,0.10403090105603796,42.01236147159511,cathodic,ca115_T,991.9629133365817,-4.7637270134172234e-07,3.2029638328720824,False,0.5,13.207911753451775,0.966441276636328,0.0006798920102135115,96,2,0.4088020877603819,29.57482706616612,42.01236147159511
0.20063095182070834,0.010630951820708334,0.297231,8.667003610597135,anodic,ca115_T,6.946791625731233,1.5635852879699446e-07,3.1518419574219454,False,0.525,6.408635262533657,0.8393801072992252,0.0007258586075834961,96,2,0.16961437300398152,1.1567718790643364,8.667003610597135
0.20063095182070834,0.010630951820708334,0.10403090364141666,43.196946514429555,cathodic,ca115_T,992.6022025357236,-4.928173714631346e-07,3.1518419574219454,False,0.525,13.06743983927057,0.9639537763722349,0.00076948596778341,96,2,0.41832075119824474,29.624677663291273,43.196946514429555
0.20063096779277872,0.010630967792778723,0.297231,8.66261197392862,anodic,ca115_T,6.9802415251300465,1.6413881822125653e-07,3.103582506170954,False,0.55,5.940352072876052,0.8268400791104508,0.0008574599180739232,96,2,0.17708736200041086,1.1765763935857816,8.66261197392862
0.20063096779277872,0.010630967792778723,0.10403093558555744,44.42140057107417,cathodic,ca115_T,994.1001808935324,-5.09418364815066e-07,3.103582506170954,False,0.55,12.585790296612302,0.9611989862951208,0.0008728107868439161,96,2,0.4277912937035218,29.673275331841293,44.42140057107417
0.20063096064062655,0.010630960640626547,0.297231,8.675803424881906,anodic,ca115_T,7.046774692989819,1.7206420504187077e-07,3.0591484224077057,False,0.575,5.394575520698416,0.813335583127073,0.0010125648542642968,96,2,0.1846744985734319,1.1996812326681687,8.675803424881906
0.20063096064062655,0.010630960640626547,0.10403092128125306,45.67438457818548,cathodic,ca115_T,995.8033479390576,-5.26369941406675e-07,3.0591484224077057,False,0.575,12.685512392178877,0.958159391036727,0.0009919226460711169,96,2,0.43721718149893146,29.711068454779546,45.67438457818548
,,0.10403092811046313,46.920512069730194,cathodic,ca115_T,996.1035319371327,-5.437054753963256e-07,,False,0.6,12.12797663324299,0.9548178225166962,0.0011291514651312056,96,2,0.44660285490446755,29.714198143516253,46.920512069730194
,,0.11393866222072681,43.35835157516976,cathodic,ca115_T,995.1968149957241,-5.524987505258568e-07,,False,0.65,11.267820302370014,0.935663498505527,0.001648599017837435,96,2,0.4489470473341043,29.059066622656875,43.35835157516976
,,0.11393863688567314,45.825693115779586,cathodic,ca115_T,994.2463357155303,-5.926665717927228e-07,,False,0.7,10.093107140962447,0.9266671504384092,0.002095689149065303,96,2,0.46953709325996534,29.1274262870399,45.825693115779586
0.19320016556519623,0.003200165565196228,0.297231,8.860409530798961,anodic,ca115_T,6.666681346841846,1.1687054596628545e-07,3.120739157195004,False,0.4,7.874745833042941,0.9177054452557093,0.00020826207865597216,97,0,0.1296320574865369,1.014814920163162,8.860409530798961
0.19320016556519623,0.003200165565196228,0.08916933113039245,46.410954945048616,cathodic,ca115_T,981.7937899186963,-3.6472248911974566e-07,3.120739157195004,False,0.4,13.080816606899814,0.9471911949632215,0.0007572024280200633,97,0,0.3343886982760442,27.20407766092125,46.410954945048616
0.19320017150560637,0.003200171505606364,0.297231,8.537385477986163,anodic,ca115_T,6.120750544391952,1.3043281049156097e-07,2.8888518653653463,False,0.45,6.718486114596055,0.9064976661637886,0.00028327099501199827,97,0,0.14319611121232476,0.9908073310609735,8.537385477986163
0.19320017150560637,0.003200171505606364,0.08916934301121272,48.81104593002851,cathodic,ca115_T,981.3228658649597,-3.7680106789339063e-07,2.8888518653653463,False,0.45,10.573200722599513,0.9341756534874927,0.0010120608750893317,97,0,0.34140099395425094,26.954484762235985,48.81104593002851
0.19320017374727416,0.00320017374727416,0.297231,8.366702341366022,anodic,ca115_T,5.860980926265214,1.4476871922118715e-07,2.6696724598642376,False,0.5,5.685948077866068,0.8922509661823588,0.0003895099218375427,97,0,0.15723353238780025,0.9922223293856092,8.366702341366022
0.19320017374727416,0.00320017374727416,0.08916934749454829,51.346259598177994,cathodic,ca115_T,977.8836922769832,-3.8648506275462186e-07,2.6696724598642376,False,0.5,9.40024327050697,0.9168028245583107,0.001367235549130846,97,0,0.3464543837046455,26.583834111368514,51.346259598177994
0.1932001772816153,0.003200177281615285,0.297231,8.31757735112194,anodic,ca115_T,5.79464906810706,1.5244641762550524e-07,2.5595120841367747,False,0.525,5.236147479872847,0.8839524979668307,0.00045770472473236155,97,0,0.164422166916781,0.9988823001862512,8.31757735112194
0.1932001772816153,0.003200177281615285,0.08916935456323057,52.58396248132135,cathodic,ca115_T,971.5902342729778,-3.9018844809584205e-07,2.5595120841367747,False,0.525,8.842669380765162,0.9060986846745124,0.0015943084363389463,97,0,0.3482031638007676,26.305189955206547,52.58396248132135
,,0.09907704579649847,46.67625359447288,cathodic,ca115_T,952.4819184390581,-4.623324899561809e-07,,False,0.55,8.216479660137567,0.903326715290233,0.0020627427471879337,97,0,0.3949582893722788,27.98993288778242,46.67625359447288
,,0.09907704622628619,47.93168926244152,cathodic,ca115_T,949.5042529867682,-4.7093069641453605e-07,,False,0.575,7.60507995360206,0.8922426326116683,0.0024030518228295933,97,0,0.3991059486521407,27.816743313321897,47.93168926244152
,,0.09907707352237934,49.25566690275059,cathodic,ca115_T,947.3355230287631,-4.789698768420004e-07,,False,0.6,7.172150155789926,0.879852332907662,0.002801253494263234,97,0,0.40280103224854213,27.637562219351697,49.25566690275059
,,0.09907701485966186,51.628429852247564,cathodic,ca115_T,927.1009695668112,-4.930618579472335e-07,,False,0.65,5.944797838373127,0.8507344227506596,0.003810876650374334,97,0,0.40876033882343327,26.994242674853023,51.628429852247564
,,0.09907706811597974,52.58556165929599,cathodic,ca115_T,853.8063067259591,-5.043388660484382e-07,,False,0.7,5.303298576334156,0.8151986924230974,0.005186497114013878,97,0,0.4126829165894257,25.500943645445872,52.58556165929599
0.19072324128516613,0.0007232412851661263,0.297231,10.8169295648255,anodic,ca115_T,8.335891770838536,1.1247349630326132e-07,3.1622991835745182,False,0.4,22.368023756591302,0.9464960628706163,0.00012961020813520577,97,1,0.12655471267844057,1.1249706191801043,10.8169295648255
0.19072324128516613,0.0007232412851661263,0.08421548257033223,49.67991695878027,cathodic,ca115_T,998.7834874674942,-3.5567484553357486e-07,3.1622991835745182,False,0.4,11.175789183798493,0.9796205422780024,0.00026993454345169906,97,1,0.3281047493771045,26.99129092052225,49.67991695878027
0.19567708193571115,0.005677081935711148,0.297231,10.574216747005721,anodic,ca115_T,7.920838052601423,1.2412702452144134e-07,3.2970609921061693,False,0.45,19.448900877195413,0.9417618387796278,0.00016727483841514812,97,1,0.13906646625704513,1.1189817781118712,10.574216747005721
0.19567708193571115,0.005677081935711148,0.09412316387142226,45.123163476076115,cathodic,ca115_T,994.9700709385847,-4.092543706158502e-07,3.2970609921061693,False,0.45,10.203584853824033,0.9745676025856057,0.00041178477260623935,97,1,0.3642167366516473,28.348413817331966,45.123163476076115
0.19567708897503217,0.005677088975032163,0.2972309999885744,10.83307428392311,anodic,ca115_T,12.660136926539664,1.291315944787155e-07,3.2953902279737872,False,0.5,15.838786855683239,0.9292938079699482,0.000255004086864394,97,1,0.14881401008717868,1.577259370216216,10.83307428392311
0.19567708897503217,0.005677088975032163,0.09412317796148997,47.447174174133806,cathodic,ca115_T,995.7349503097748,-4.2553899456783293e-07,3.2953902279737872,False,0.5,9.184576683917763,0.9715938419561727,0.0004893556525217933,97,1,0.3729307531039501,28.18338568412507,47.447174174133806
0.20063096784294993,0.010630967842949923,0.2972309999332594,10.642288604773285,anodic,ca115_T,12.12133292926314,1.3531969719390274e-07,3.705752532780838,False,0.525,14.964260215325025,0.9258926602477284,0.0002895293707255994,97,1,0.15542969073201393,1.5558466832580344,10.642288604773285
0.20063096784294993,0.010630967842949923,0.10403093575264047,43.22544402079325,cathodic,ca115_T,990.8055670982912,-5.014613106114411e-07,3.705752532780838,False,0.525,8.87982166940739,0.9594413130222107,0.0008756368994537662,97,1,0.42318887921852494,29.99977878212537,43.22544402079325
0.20063096919210904,0.010630969192109041,0.2972309999994754,10.532187334510354,anodic,ca115_T,11.791156336555742,1.4171444980284425e-07,3.65450101942728,False,0.55,13.681676565518677,0.9218780680344487,0.0003302824902811193,97,1,0.1620822864514371,1.547782444370803,10.532187334510354
0.20063096919210904,0.010630969192109041,0.10403093838474269,44.40087950170005,cathodic,ca115_T,992.6406608241659,-5.178956012720705e-07,3.65450101942728,False,0.55,8.31700697321994,0.9561208102139046,0.0009963242760236174,97,1,0.4322714395188984,30.054620275733363,44.40087950170005
0.20063095170064407,0.01063095170064407,0.2972309996129215,10.485466979680723,anodic,ca115_T,11.617588129292356,1.4812812339665175e-07,3.609350567333669,False,0.575,12.485243356886745,0.9172525156495551,0.00037816644322313635,97,1,0.16876404878936838,1.5501914526896217,10.485466979680723
0.20063095170064407,0.01063095170064407,0.10403090378836666,45.607244403380946,cathodic,ca115_T,994.8664696577281,-5.346463262197767e-07,3.609350567333669,False,0.575,7.7065662396342205,0.9524414478925047,0.001135820547825792,97,1,0.44128002551348633,30.103335939372666,45.607244403380946
0.20063101398418592,0.010631013984185922,0.29723099998111047,10.494334842589865,anodic,ca115_T,11.577587888867665,1.545368405598935e-07,3.5704916416381014,False,0.6,11.45426166148692,0.9120062287381832,0.0004342429867862249,97,1,0.1754645816345833,1.5619687352197582,10.494334842589865
0.20063101398418592,0.010631013984185922,0.10403102798726137,46.8068269556386,cathodic,ca115_T,995.7753217018691,-5.517724975442597e-07,3.5704916416381014,False,0.6,7.183948322932687,0.9483781186890092,0.0012969816524577371,97,1,0.4502200222358834,30.120197101309923,46.8068269556386
0.19567849228447903,0.005678492284479031,0.28732299999998206,6.302919947112741,anodic,ca115_T,5.307580335154527,1.845467800763469e-07,3.1796989901299777,False,0.65,9.379836370018557,0.8990736068752818,0.000561140419784511,97,1,0.19601626833241798,1.0450624720264963,6.302919947112741
0.19567849228447903,0.005678492284479031,0.10403398456897602,49.30412968475002,cathodic,ca115_T,998.5974988037169,-5.868032102404994e-07,3.1796989901299777,False,0.65,6.433494097664377,0.9390019960763162,0.0016976910904338222,97,1,0.46792134268344454,30.133699553613894,49.30412968475002
0.20063080005463862,0.010630800054638623,0.28732299998888655,6.307500855397848,anodic,ca115_T,5.194913681963884,2.0286018122762478e-07,2.8577347965464597,False,0.7,7.537743050602035,0.8826578345567568,0.0007581287366227841,97,1,0.21117454901117022,1.0504590910860991,6.307500855397848
0.20063080005463862,0.010630800054638623,0.11393860012039068,45.948553609966666,cathodic,ca115_T,998.2320162670378,-5.797205987279042e-07,2.8577347965464597,False,0.7,5.616435354123065,0.9077893549282366,0.002581912823796818,97,1,0.45998885997847244,29.10681323129759,45.948553609966666
0.24273849280800108,0.05273849280800108,0.297231,10.891222371374397,anodic,ca115_T,11.458668055102203,1.1445813808100442e-07,3.3440140180654234,False,0.4,17.061547782927057,0.8669212172982649,0.00038587038310338963,97,2,0.12990735301699624,1.43840117422765,10.891222371374397
0.24273849280800108,0.05273849280800108,0.18824598561600211,26.670282642823167,cathodic,ca115_T,999.1992349243271,-3.8274961822454663e-07,3.3440140180654234,False,0.4,9.157337678942786,0.9536791674513845,0.0006922199351143002,97,2,0.34729372746575043,28.190357440596575,-26.670282642823167
0.24026148522995433,0.05026148522995433,0.29227699999311413,9.193066101839122,anodic,ca115_T,11.722416113944737,1.253193908881925e-07,3.1644713622508314,False,0.45,13.59870196555392,0.8556834284214417,0.0005140155309030567,97,2,0.1426397846676152,1.5437550010714527,9.193066101839122
0.24026148522995433,0.05026148522995433,0.18824597046679453,24.919847064145983,cathodic,ca115_T,992.3717626793555,-3.9656962360040297e-07,3.1644713622508314,False,0.45,8.038785466274843,0.941646150321983,0.0009278946633980245,97,2,0.3548325927697604,27.926746482105443,-24.919847064145983
0.24026148584040335,0.05026148584040335,0.29227699999286705,8.643938390223752,anodic,ca115_T,10.232276769123906,1.3922769496609485e-07,2.935051822737616,False,0.5,11.532652470515966,0.8341904937194051,0.0007124535484994265,97,2,0.15699668891264365,1.4701525546731924,8.643938390223752
0.24026148584040335,0.05026148584040335,0.18824597168793966,23.198737700276524,cathodic,ca115_T,982.7617776462807,-4.0864049988579343e-07,2.935051822737616,False,0.5,7.02142532700319,0.9254496875005759,0.0012551918791085376,97,2,0.3604646232580486,27.559101882639098,-23.198737700276524
0.2402614809170813,0.0502614809170813,0.29227699994774553,8.493792221090985,anodic,ca115_T,9.838705595485592,1.4662441144812745e-07,2.821171503155987,False,0.525,11.24772856743342,0.8218416239479586,0.0008406895798604122,97,2,0.16432664528699664,1.4570015668179708,8.493792221090985
0.2402614809170813,0.0502614809170813,0.18824596188641707,22.307572135570695,cathodic,ca115_T,973.594051707567,-4.136526112444757e-07,2.821171503155987,False,0.525,6.530932003708437,0.9153946055075256,0.001463707671349049,97,2,0.3625240636934105,27.288869464867975,-22.307572135570695
0.19567702050490224,0.005677020504902236,0.29227699999949946,8.407001992571054,anodic,ca115_T,9.612955920689048,1.5414226688132448e-07,3.029451200574685,False,0.55,10.168538923196614,0.8084423305228076,0.0009926180359420276,97,2,0.17174940976707828,1.4567184669790896,8.407001992571054
0.19567702050490224,0.005677020504902236,0.09907704101030501,47.704927473395855,cathodic,ca115_T,970.6947842775877,-4.66966475462932e-07,3.029451200574685,False,0.55,6.0960457160992805,0.9103206696423609,0.001960253341363166,97,2,0.4000949901434798,28.090771103866135,47.704927473395855
0.19567702479112387,0.005677024791123864,0.2922769999398807,8.36468232238417,anodic,ca115_T,9.500854784645604,1.617733372332991e-07,2.940108361144226,False,0.575,9.11887759265101,0.7939999866462203,0.0011721761317853984,97,2,0.17926390851456303,1.4653884630804397,8.36468232238417
0.19567702479112387,0.005677024791123864,0.09907704964236705,49.109619245364684,cathodic,ca115_T,971.9955759755275,-4.7563114140982724e-07,2.940108361144226,False,0.575,5.649091968062814,0.9001427585010238,0.0022810603512933036,97,2,0.40449339196230455,27.975172609837532,49.109619245364684
0.1956770345045554,0.005677034504555395,0.292276999686505,8.36447234974139,anodic,ca115_T,9.49530397231676,1.6964303783628239e-07,2.8526943142796584,False,0.6,8.565240583569839,0.7785230027510223,0.0013839224755244027,97,2,0.18686175348668996,1.4830621832897464,8.36447234974139
0.1956770345045554,0.005677034504555395,0.09907706932260578,50.270468414528295,cathodic,ca115_T,961.8062759370074,-4.839397294926917e-07,2.8526943142796584,False,0.6,5.305783326610113,0.8887658421457226,0.0026559307133655428,97,2,0.4084431209305285,27.67560447795359,50.270468414528295
,,0.292276999843222,8.461278329747756,anodic,ca115_T,9.728743200317398,1.861492809694201e-07,,False,0.65,7.397463065819444,0.7445236573855791,0.0019257941338205282,97,2,0.2022873146726177,1.5395373536645112,8.461278329747756
,,0.29227699941341045,8.675716595737867,anodic,ca115_T,10.267317464389576,2.0354458526834212e-07,,False,0.7,6.3768586666964095,0.7066447989998075,0.002670271275341996,97,2,0.2179692725942592,1.622841688507156,8.675716595737867
0.19320016255246336,0.0032001625524633592,0.297230999929412,7.590481583215933,anodic,ca115_T,5.643357649746188,1.1708712533758129e-07,3.14430116146674,False,0.4,5.249827592733847,0.7331677479368364,0.000825099545655981,98,0,0.1292626138296654,0.9259054037755925,7.590481583215933
0.19320016255246336,0.0032001625524633592,0.08916932517551474,46.64596459474819,cathodic,ca115_T,983.8768409746135,-3.681571841917586e-07,3.14430116146674,False,0.4,7.017255308832523,0.9593843658957474,0.0005790001519919877,98,0,0.3369076911846545,27.36622778567021,46.64596459474819
,,0.08916933192674562,49.07783266031515,cathodic,ca115_T,986.5198119853574,-3.799965077144427e-07,,False,0.45,6.043177407615987,0.9504898902517228,0.0007510749603918492,98,0,0.34358681470198416,27.165890341844413,49.07783266031515
