E_span_ok,dataset,day,disconnect,envelope,equil_decay_ratio,equil_monotonic,equil_range,group,max_abs_i,noise_mad,polished,rms_i,saturation_frac,scan_corr,substance
True,test_iso_2,today,none,1.6673628113802818e-06,2.3394420698301137,0.9583333333333334,1.628274e-07,Cv1,3.78031e-06,3.732620949513553e-08,,1.6495699124956851e-06,0.0023446658851113715,0.9906939742271262,sample
True,test_iso_2,today,none,1.7898739547323944e-06,1.7006996770721203,0.9166666666666666,3.56987e-07,Cv2,3.496599e-06,3.6391075484837416e-08,,1.6649107281765235e-06,0.0035169988276670576,0.993701230940619,sample
