E_half_s0,E_half_s1,E_half_s2,Epa_s0,Epa_s1,Epa_s2,Epc_s0,Epc_s1,Epc_s2,dEp_s0,dEp_s1,dEp_s2,dataset,day,disconnect,drift_1,drift_2,envelope_s0,envelope_s1,envelope_s2,group,i_vertex_neg_s0,i_vertex_neg_s1,i_vertex_neg_s2,i_vertex_pos_s0,i_vertex_pos_s1,i_vertex_pos_s2,ip_ratio_s0,ip_ratio_s1,ip_ratio_s2,ipa_s0,ipa_s1,ipa_s2,ipc_s0,ipc_s1,ipc_s2,n_scans_parsed,polished,substance
nan,nan,nan,0.203107,0.203107,0.208061,nan,nan,nan,nan,nan,nan,test_iso_2,today,none,2.434667726066666e-07,2.744926128075204e-07,1.4104707e-06,1.430516976190476e-06,1.4563515430303033e-06,Cv1,-3.78031e-06,-3.456202e-06,-3.313408e-06,1.829091e-06,1.857274e-06,1.887336e-06,nan,nan,nan,2.3269727763705755e-06,2.189125419988769e-06,2.1320176950436773e-06,nan,nan,nan,3,,sample
nan,nan,nan,0.208061,0.203107,0.208061,nan,nan,nan,nan,nan,nan,test_iso_2,today,none,2.005822880574574e-07,2.1751049042811835e-07,1.4932724619047622e-06,1.478683957142857e-06,1.4899702064935064e-06,Cv2,-3.496599e-06,-3.306831e-06,-3.211948e-06,1.899549e-06,1.903307e-06,1.916459e-06,nan,nan,nan,2.2223220788476705e-06,2.1261960538663284e-06,2.0896034582305644e-06,nan,nan,nan,3,,sample
