group,substance,disconnect,polished,potential,potential_file,day,max_abs_i,tail_mean,first_i,sigma_noise,saturation_frac,sign_flips,n_points
45,Blank,counter,True,0.4,0.4,Y,8.53175e-07,1.5970504999999993e-10,7.58378e-07,3.1515798353121442e-09,0.01,0.8894472361809045,200
46,Blank,reference,True,0,0.0,Y,0.000600825,0.000311801995,9.508166e-05,4.869605522976288e-05,0.005,0.010050251256281407,200
47,Blank,reference,True,0.1,0.1,Y,0.000621206,0.00037798232499999996,0.000550203,4.303188982142219e-05,0.03,0.0,200
48,Blank,reference,True,0.2,0.2,Y,0.000615044,0.00040338567500000004,0.000615044,3.3293706164853116e-05,0.005,0.0,200
49,Blank,reference,True,0.3,0.3,Y,0.000632487,0.0004634681749999999,0.000616087,2.703292106451607e-05,0.01,0.0,200
50,Blank,reference,True,0.4,0.4,Y,0.000638459,0.00047240514999999996,0.000638459,3.070845900185404e-05,0.005,0.0,200
51,Sample,none,True,0,0.0,Y,7.13975e-07,-1.4288379999999999e-07,3.79189e-07,1.2800433033341494e-09,0.005,0.0,200
52,Sample,none,True,0.1,0.1,Y,1.70635e-06,-7.945321325000001e-09,1.70635e-06,5.022833311031426e-09,0.005,0.11557788944723618,200
53,Sample,none,True,0.2,0.2,Y,2.938715e-06,4.20883125e-07,2.938715e-06,1.181497791038182e-09,0.005,0.0,200
54,Sample,none,True,0.3,0.3,Y,3.79189e-06,5.72351525e-07,3.79189e-06,8.075490225702638e-09,0.005,0.0,200
55,Sample,none,True,0.4,0.4,Y,2.275134e-06,5.1498455e-07,2.275134e-06,7.386719996144432e-09,0.005,0.0,200
56,Sample,none,True,0,0.0,Y,7.13975e-07,-1.352040975e-07,6.6358e-07,5.022676057554335e-09,0.005,0.0,200
57,Sample,none,True,0.1,0.1,Y,1.895945e-06,-4.3965831749999995e-09,1.895945e-06,5.121326405501731e-09,0.005,0.20603015075376885,200
58,Sample,none,True,0.2,0.2,Y,3.033512e-06,4.2251307500000003e-07,3.033512e-06,4.532045209101964e-09,0.005,0.0,200
59,Sample,none,True,0.3,0.3,Y,4.076282e-06,5.715577e-07,4.076282e-06,4.924130545258312e-09,0.005,0.0,200
60,Sample,none,True,0.4,0.4,Y,2.180337e-06,5.117787249999999e-07,2.180337e-06,4.432451340292208e-09,0.005,0.0,200
61,Sample,working,True,0,0.0,Y,5.68783e-07,1.4326465000000001e-10,5.68783e-07,9.8486699495571e-11,0.015,0.18090452261306533,200
62,Sample,working,True,0.1,0.1,Y,8.53175e-07,1.1977862749999999e-10,7.58378e-07,1.9697360866244476e-10,0.005,0.7638190954773869,200
63,Sample,working,True,0.2,0.2,Y,5.68783e-07,1.362187525e-10,5.68783e-07,4.924341264917633e-10,0.005,0.9547738693467337,200
64,Sample,working,True,0.3,0.3,Y,7.58378e-07,1.244757575e-10,7.58378e-07,1.9697350382679342e-10,0.01,0.40703517587939697,200
65,Sample,working,True,0.4,0.4,Y,5.68783e-07,1.338702575e-10,5.68783e-07,2.954604129936672e-10,0.005,0.5829145728643216,200
66,Sample,counter,True,0,0.0,Y,5.68783e-07,4.227479999999998e-11,4.73986e-07,2.166710743643406e-09,0.005,0.8994974874371859,200
67,Sample,counter,True,0.1,0.1,Y,5.68783e-07,8.454987500000005e-11,3.79189e-07,3.250066534807715e-09,0.005,0.9195979899497487,200
68,Sample,counter,True,0.2,0.2,Y,6.6358e-07,8.924702499999996e-11,6.6358e-07,3.742500661299479e-09,0.01,0.914572864321608,200
69,Sample,counter,True,0.3,0.3,Y,6.6358e-07,1.667507225e-10,6.6358e-07,3.3485534439745888e-09,0.005,0.9095477386934674,200
70,Sample,counter,True,0.4,0.4,Y,5.68783e-07,1.9258537499999998e-10,5.68783e-07,3.2500666396433665e-09,0.01,0.914572864321608,200
71,Sample,reference,True,0,0.0,Y,0.000682256,0.000650759175,0.000669932,4.86856765002769e-06,0.08,0.0,200
72,Sample,reference,True,0.1,0.1,Y,0.000681971,0.0006604357,0.000681971,3.983754752391476e-07,0.01,0.0,200
73,Sample,reference,True,0.2,0.2,Y,0.000681308,0.000677710075,0.00066832,2.9773324991558543e-07,0.23,0.0,200
74,Sample,reference,True,0.3,0.3,Y,0.000693157,0.000614127075,0.000693157,2.9773324991558543e-07,0.015,0.0,200
75,Sample,reference,True,0.4,0.4,Y,0.000626704,0.0006073585000000001,0.000626704,2.002360941334343e-07,0.005,0.0,200
76,Blank,none,True,0.4,0.4,T,5.213849e-06,1.041464215e-07,5.213849e-06,1.812084234081131e-08,0.005,0.0,200
77,Blank,none,True,0.4,0.4,T,5.68783e-07,5.1751450500000004e-08,5.68783e-07,2.284897215225204e-08,0.01,0.0,200
78,Blank,none,True,0.4,0.4,T,4.73986e-07,3.3087109249999996e-08,3.79189e-07,2.885666302303054e-08,0.005,0.0,200
79,Blank,none,True,0.4,0.4,T,4.73986e-07,2.389467995e-08,4.73986e-07,2.7379360958062213e-08,0.015,0.0,200
80,Blank,none,True,0.4,0.4,T,6.6358e-07,1.8098329075e-08,4.73986e-07,2.7182378962547654e-08,0.01,0.0,200
81,Blank,none,True,0.4,0.4,T,5.593038e-06,9.835711124999999e-08,5.593038e-06,2.472024659510158e-08,0.005,0.0,200
82,Blank,none,True,0.4,0.4,T,4.73986e-07,5.025304299999999e-08,4.73986e-07,2.550809699877779e-08,0.005,0.0,200
83,Blank,none,True,0.4,0.4,T,5.68783e-07,3.32843915e-08,4.73986e-07,2.580356579862357e-08,0.005,0.0,200
84,Blank,none,True,0.4,0.4,T,5.68783e-07,2.4575774000000002e-08,3.79189e-07,2.4523239439030707e-08,0.005,0.0,200
85,Blank,none,True,0.4,0.4,T,2.84391e-07,1.9507490825e-08,1.89594e-07,2.5114165506800613e-08,0.005,0.0,200
86,Blank,none,True,0.4,0.4,T,5.308646e-06,9.69503045e-08,5.308646e-06,2.5804247230357545e-08,0.005,0.0,200
87,Blank,none,True,0.4,0.4,T,3.79189e-07,5.03281985e-08,3.79189e-07,2.68869269364061e-08,0.005,0.0,200
88,Blank,none,True,0.4,0.4,T,5.68783e-07,3.38386615e-08,4.73986e-07,2.4523239439030707e-08,0.005,0.0,200
89,Blank,none,True,0.4,0.4,T,3.79189e-07,2.51488327e-08,3.79189e-07,2.44247463445604e-08,0.015,0.0,200
90,Blank,none,True,0.4,0.4,T,3.79189e-07,2.020737475e-08,3.79189e-07,2.8265742197043217e-08,0.005,0.0,200
