scan,potential,current,time
,0.000000e+00,-1.895945e-06,
,0.000000e+00,-1.232364e-06,
,0.000000e+00,-9.479720e-07,
,0.000000e+00,-5.824530e-07,
,0.000000e+00,-4.885090e-07,
,0.000000e+00,-4.321420e-07,
,0.000000e+00,-3.870490e-07,
,0.000000e+00,-3.522900e-07,
,0.000000e+00,-3.231670e-07,
,0.000000e+00,-3.008080e-07,
,0.000000e+00,-2.820200e-07,
,0.000000e+00,-2.659550e-07,
,0.000000e+00,-2.521450e-07,
,0.000000e+00,-2.403080e-07,
,0.000000e+00,-2.296930e-07,
,0.000000e+00,-2.202040e-07,
,0.000000e+00,-2.118430e-07,
,0.000000e+00,-2.040460e-07,
,0.000000e+00,-1.972820e-07,
,0.000000e+00,-1.910820e-07,
,0.000000e+00,-1.854450e-07,
,0.000000e+00,-1.801840e-07,
,0.000000e+00,-1.753930e-07,
,0.000000e+00,-1.710720e-07,
,0.000000e+00,-1.668440e-07,
0,0.000000e+00,-1.632740e-07,
0,-4.953850e-03,-2.061130e-07,
0,-9.907701e-03,-2.293170e-07,
0,-1.486155e-02,-2.596610e-07,
0,-1.981540e-02,-2.790130e-07,
0,-2.476925e-02,-3.096390e-07,
0,-2.972310e-02,-3.300250e-07,
0,-3.467696e-02,-3.616840e-07,
0,-3.963080e-02,-3.847010e-07,
0,-4.458466e-02,-4.172990e-07,
0,-4.953850e-02,-4.433220e-07,
0,-5.449236e-02,-4.761080e-07,
0,-5.944621e-02,-5.042910e-07,
0,-6.440006e-02,-5.362320e-07,
0,-6.935391e-02,-5.670460e-07,
0,-7.430775e-02,-5.973900e-07,
0,-7.926161e-02,-6.295190e-07,
0,-8.421546e-02,-6.580780e-07,
0,-8.916931e-02,-6.916160e-07,
0,-9.412316e-02,-7.180140e-07,
0,-9.907701e-02,-7.509890e-07,
0,-1.040309e-01,-7.749440e-07,
0,-1.089847e-01,-8.084820e-07,
0,-1.139386e-01,-8.307470e-07,
0,-1.188924e-01,-8.632520e-07,
0,-1.238463e-01,-8.844830e-07,
0,-1.288001e-01,-9.154850e-07,
0,-1.337540e-01,-9.358710e-07,
0,-1.387070e-01,-9.646170e-07,
0,-1.436610e-01,-9.854730e-07,
0,-1.486150e-01,-1.011683e-06,
0,-1.535690e-01,-1.032445e-06,
0,-1.585230e-01,-1.056777e-06,
0,-1.634770e-01,-1.078853e-06,
0,-1.684300e-01,-1.100649e-06,
0,-1.733840e-01,-1.124041e-06,
0,-1.783380e-01,-1.143393e-06,
0,-1.832920e-01,-1.168382e-06,
0,-1.882460e-01,-1.186044e-06,
0,-1.932000e-01,-1.211596e-06,
0,-1.981540e-01,-1.228412e-06,
0,-2.031070e-01,-1.255562e-06,
0,-2.080610e-01,-1.272190e-06,
0,-2.130150e-01,-1.299528e-06,
0,-2.179690e-01,-1.316908e-06,
0,-2.229230e-01,-1.344527e-06,
0,-2.278770e-01,-1.362377e-06,
0,-2.328300e-01,-1.389996e-06,
0,-2.377840e-01,-1.410382e-06,
0,-2.427380e-01,-1.437062e-06,
0,-2.476920e-01,-1.459609e-06,
0,-2.526460e-01,-1.485443e-06,
0,-2.576000e-01,-1.510714e-06,
0,-2.625540e-01,-1.535704e-06,
0,-2.675070e-01,-1.564356e-06,
0,-2.724610e-01,-1.588218e-06,
0,-2.774150e-01,-1.619690e-06,
0,-2.823690e-01,-1.643927e-06,
0,-2.873230e-01,-1.676526e-06,
0,-2.922770e-01,-1.701045e-06,
0,-2.972310e-01,-1.736744e-06,
0,-3.021840e-01,-1.762297e-06,
0,-2.972310e-01,-1.595452e-06,
0,-2.922770e-01,-1.456133e-06,
0,-2.873230e-01,-1.350446e-06,
0,-2.823690e-01,-1.251804e-06,
0,-2.774150e-01,-1.173643e-06,
0,-2.724610e-01,-1.097454e-06,
0,-2.675070e-01,-1.035451e-06,
0,-2.625540e-01,-9.746690e-07,
0,-2.576000e-01,-9.231880e-07,
0,-2.526460e-01,-8.748070e-07,
0,-2.476920e-01,-8.291500e-07,
0,-2.427380e-01,-7.900690e-07,
0,-2.377840e-01,-7.485460e-07,
0,-2.328300e-01,-7.166050e-07,
0,-2.278770e-01,-6.779000e-07,
0,-2.229230e-01,-6.515960e-07,
0,-2.179690e-01,-6.147700e-07,
0,-2.130150e-01,-5.928810e-07,
0,-2.080610e-01,-5.585910e-07,
0,-2.031070e-01,-5.391450e-07,
0,-1.981540e-01,-5.069220e-07,
0,-1.932000e-01,-4.890720e-07,
0,-1.882460e-01,-4.599500e-07,
0,-1.832920e-01,-4.421000e-07,
0,-1.783380e-01,-4.156080e-07,
0,-1.733840e-01,-3.974770e-07,
0,-1.684300e-01,-3.741790e-07,
0,-1.634770e-01,-3.549200e-07,
0,-1.585230e-01,-3.350040e-07,
0,-1.535690e-01,-3.139610e-07,
0,-1.486150e-01,-2.978960e-07,
0,-1.436610e-01,-2.753500e-07,
0,-1.387070e-01,-2.618220e-07,
0,-1.337540e-01,-2.381480e-07,
0,-1.288001e-01,-2.272500e-07,
0,-1.238463e-01,-2.026370e-07,
0,-1.188924e-01,-1.932420e-07,
0,-1.139386e-01,-1.690050e-07,
0,-1.089847e-01,-1.600800e-07,
0,-1.040309e-01,-1.364060e-07,
0,-9.907701e-02,-1.273882e-07,
0,-9.412316e-02,-1.060629e-07,
0,-8.916931e-02,-9.563509e-08,
0,-8.421546e-02,-7.618866e-08,
0,-7.926161e-02,-6.397593e-08,
0,-7.430775e-02,-4.725388e-08,
0,-6.935391e-02,-3.325621e-08,
0,-6.440006e-02,-1.963432e-08,
0,-5.944621e-02,-3.194099e-09,
0,-5.449236e-02,6.857918e-09,
0,-4.953850e-02,2.536490e-08,
0,-4.458466e-02,3.316226e-08,
0,-3.963080e-02,5.289052e-08,
0,-3.467696e-02,5.824534e-08,
0,-2.972310e-02,7.900698e-08,
0,-2.476925e-02,8.361024e-08,
0,-1.981540e-02,1.037143e-07,
0,-1.486155e-02,1.079418e-07,
0,-9.907701e-03,1.275761e-07,
0,-4.953850e-03,1.325551e-07,
0,0.000000e+00,1.499340e-07,
0,4.953850e-03,1.567920e-07,
