scan,potential,current,time
,0.000000e+00,1.895940e-07,
,0.000000e+00,2.843910e-07,
,0.000000e+00,2.843910e-07,
,0.000000e+00,-1.690990e-07,
,0.000000e+00,-1.409160e-07,
,0.000000e+00,-1.315217e-07,
,0.000000e+00,-1.287034e-07,
,0.000000e+00,-1.193090e-07,
,0.000000e+00,-1.127329e-07,
,0.000000e+00,-1.103843e-07,
,0.000000e+00,-1.048416e-07,
,0.000000e+00,-1.001444e-07,
,0.000000e+00,-9.610481e-08,
,0.000000e+00,-9.225310e-08,
,0.000000e+00,-8.887111e-08,
,0.000000e+00,-8.577096e-08,
,0.000000e+00,-8.295263e-08,
,0.000000e+00,-8.041614e-08,
,0.000000e+00,-7.806754e-08,
,0.000000e+00,-7.618866e-08,
,0.000000e+00,-7.468555e-08,
,0.000000e+00,-7.308850e-08,
,0.000000e+00,-7.167934e-08,
,0.000000e+00,-7.036413e-08,
,0.000000e+00,-6.923679e-08,
0,0.000000e+00,-8.699223e-08,
0,-4.953850e-03,-1.089752e-07,
0,-9.907701e-03,-1.720110e-07,
0,-1.486155e-02,-1.610200e-07,
0,-1.981540e-02,-2.197350e-07,
0,-2.476925e-02,-2.041400e-07,
0,-2.972310e-02,-2.643580e-07,
0,-3.467696e-02,-2.520510e-07,
0,-3.963080e-02,-3.087940e-07,
0,-4.458466e-02,-3.065390e-07,
0,-4.953850e-02,-3.566110e-07,
0,-5.449236e-02,-3.682600e-07,
0,-5.944621e-02,-4.054620e-07,
0,-6.440006e-02,-4.357120e-07,
0,-6.935391e-02,-4.607950e-07,
0,-7.430775e-02,-5.043850e-07,
0,-7.926161e-02,-5.199800e-07,
0,-8.421546e-02,-5.767220e-07,
0,-8.916931e-02,-5.847080e-07,
0,-9.412316e-02,-6.494350e-07,
0,-9.907701e-02,-6.531930e-07,
0,-1.040309e-01,-7.242140e-07,
0,-1.089847e-01,-7.261870e-07,
0,-1.139386e-01,-8.014370e-07,
0,-1.188924e-01,-8.020000e-07,
0,-1.238463e-01,-8.791280e-07,
0,-1.288001e-01,-8.821350e-07,
0,-1.337540e-01,-9.547530e-07,
0,-1.387070e-01,-9.660270e-07,
0,-1.436610e-01,-1.029815e-06,
0,-1.486150e-01,-1.052455e-06,
0,-1.535690e-01,-1.101400e-06,
0,-1.585230e-01,-1.140669e-06,
0,-1.634770e-01,-1.174395e-06,
0,-1.684300e-01,-1.225124e-06,
0,-1.733840e-01,-1.247107e-06,
0,-1.783380e-01,-1.308923e-06,
0,-1.832920e-01,-1.320572e-06,
0,-1.882460e-01,-1.388587e-06,
0,-1.932000e-01,-1.393754e-06,
0,-1.981540e-01,-1.466373e-06,
0,-2.031070e-01,-1.467218e-06,
0,-2.080610e-01,-1.542374e-06,
0,-2.130150e-01,-1.540213e-06,
0,-2.179690e-01,-1.616120e-06,
0,-2.229230e-01,-1.614335e-06,
0,-2.278770e-01,-1.685450e-06,
0,-2.328300e-01,-1.690523e-06,
0,-2.377840e-01,-1.752245e-06,
0,-2.427380e-01,-1.768027e-06,
0,-2.476920e-01,-1.815375e-06,
0,-2.526460e-01,-1.847504e-06,
0,-2.576000e-01,-1.878787e-06,
0,-2.625540e-01,-1.923787e-06,
0,-2.675070e-01,-1.943421e-06,
0,-2.724610e-01,-2.000539e-06,
0,-2.774150e-01,-2.009182e-06,
0,-2.823690e-01,-2.074567e-06,
0,-2.873230e-01,-2.077009e-06,
0,-2.922770e-01,-2.147749e-06,
0,-2.972310e-01,-2.147186e-06,
0,-3.021840e-01,-2.222059e-06,
0,-2.972310e-01,-2.024213e-06,
0,-2.922770e-01,-1.942388e-06,
0,-2.873230e-01,-1.797244e-06,
0,-2.823690e-01,-1.742193e-06,
0,-2.774150e-01,-1.623823e-06,
0,-2.724610e-01,-1.574784e-06,
0,-2.675070e-01,-1.479713e-06,
0,-2.625540e-01,-1.429077e-06,
0,-2.576000e-01,-1.359089e-06,
0,-2.526460e-01,-1.299058e-06,
0,-2.476920e-01,-1.250301e-06,
0,-2.427380e-01,-1.183789e-06,
0,-2.377840e-01,-1.152318e-06,
0,-2.328300e-01,-1.078102e-06,
0,-2.278770e-01,-1.059971e-06,
0,-2.229230e-01,-9.832180e-07,
0,-2.179690e-01,-9.729780e-07,
0,-2.130150e-01,-8.939710e-07,
0,-2.080610e-01,-8.905890e-07,
0,-2.031070e-01,-8.104550e-07,
0,-1.981540e-01,-8.112070e-07,
0,-1.932000e-01,-7.319180e-07,
0,-1.882460e-01,-7.331390e-07,
0,-1.832920e-01,-6.603320e-07,
0,-1.783380e-01,-6.536620e-07,
0,-1.733840e-01,-5.923170e-07,
0,-1.684300e-01,-5.751250e-07,
0,-1.634770e-01,-5.299380e-07,
0,-1.585230e-01,-4.961180e-07,
0,-1.535690e-01,-4.677470e-07,
0,-1.486150e-01,-4.220900e-07,
0,-1.436610e-01,-4.064020e-07,
0,-1.387070e-01,-3.494720e-07,
0,-1.337540e-01,-3.451500e-07,
0,-1.288001e-01,-2.823010e-07,
0,-1.238463e-01,-2.839920e-07,
0,-1.188924e-01,-2.174800e-07,
0,-1.139386e-01,-2.250900e-07,
0,-1.089847e-01,-1.566980e-07,
0,-1.040309e-01,-1.677840e-07,
0,-9.907701e-02,-9.986257e-08,
0,-9.412316e-02,-1.126390e-07,
0,-8.916931e-02,-5.054192e-08,
0,-8.421546e-02,-5.580279e-08,
0,-7.926161e-02,-6.106366e-09,
0,-7.430775e-02,-2.160714e-09,
0,-6.935391e-02,3.147127e-08,
0,-6.440006e-02,5.063586e-08,
0,-5.944621e-02,6.594875e-08,
0,-5.449236e-02,9.619874e-08,
0,-4.953850e-02,9.826551e-08,
0,-4.458466e-02,1.392250e-07,
0,-3.963080e-02,1.287973e-07,
0,-3.467696e-02,1.752990e-07,
0,-2.972310e-02,1.588590e-07,
0,-2.476925e-02,2.086490e-07,
0,-1.981540e-02,1.864790e-07,
0,-1.486155e-02,2.386170e-07,
0,-9.907701e-03,2.130650e-07,
0,-4.953850e-03,2.651100e-07,
0,0.000000e+00,2.391810e-07,
