scan,potential,current,time
,0.000000e+00,5.687830e-07,
,0.000000e+00,6.635800e-07,
,0.000000e+00,6.635800e-07,
,0.000000e+00,-1.690990e-07,
,0.000000e+00,-1.597040e-07,
,0.000000e+00,-1.503100e-07,
,0.000000e+00,-1.625230e-07,
,0.000000e+00,-1.559470e-07,
,0.000000e+00,-1.531280e-07,
,0.000000e+00,-1.581070e-07,
,0.000000e+00,-1.551950e-07,
,0.000000e+00,-1.525650e-07,
,0.000000e+00,-1.503100e-07,
,0.000000e+00,-1.483370e-07,
,0.000000e+00,-1.466460e-07,
,0.000000e+00,-1.451430e-07,
,0.000000e+00,-1.437340e-07,
,0.000000e+00,-1.424190e-07,
,0.000000e+00,-1.412910e-07,
,0.000000e+00,-1.401640e-07,
,0.000000e+00,-1.391310e-07,
,0.000000e+00,-1.381910e-07,
,0.000000e+00,-1.372520e-07,
,0.000000e+00,-1.364060e-07,
,0.000000e+00,-1.356550e-07,
0,0.000000e+00,-1.347150e-07,
0,-4.953850e-03,-1.844120e-07,
0,-9.907701e-03,-2.140980e-07,
0,-1.486155e-02,-2.372080e-07,
0,-1.981540e-02,-2.640760e-07,
0,-2.476925e-02,-2.847440e-07,
0,-2.972310e-02,-3.145240e-07,
0,-3.467696e-02,-3.362250e-07,
0,-3.963080e-02,-3.695760e-07,
0,-4.458466e-02,-3.931560e-07,
0,-4.953850e-02,-4.301690e-07,
0,-5.449236e-02,-4.569440e-07,
0,-5.944621e-02,-4.960240e-07,
0,-6.440006e-02,-5.267440e-07,
0,-6.935391e-02,-5.678920e-07,
0,-7.430775e-02,-6.026510e-07,
0,-7.926161e-02,-6.444560e-07,
0,-8.421546e-02,-6.841940e-07,
0,-8.916931e-02,-7.264690e-07,
0,-9.412316e-02,-7.705290e-07,
0,-9.907701e-02,-8.117700e-07,
0,-1.040309e-01,-8.597760e-07,
0,-1.089847e-01,-9.019570e-07,
0,-1.139386e-01,-9.529680e-07,
0,-1.188924e-01,-9.948670e-07,
0,-1.238463e-01,-1.047664e-06,
0,-1.288001e-01,-1.089563e-06,
0,-1.337540e-01,-1.142829e-06,
0,-1.387070e-01,-1.184634e-06,
0,-1.436610e-01,-1.237243e-06,
0,-1.486150e-01,-1.279330e-06,
0,-1.535690e-01,-1.329121e-06,
0,-1.585230e-01,-1.371301e-06,
0,-1.634770e-01,-1.417616e-06,
0,-1.684300e-01,-1.459515e-06,
0,-1.733840e-01,-1.501320e-06,
0,-1.783380e-01,-1.542280e-06,
0,-1.832920e-01,-1.579387e-06,
0,-1.882460e-01,-1.619314e-06,
0,-1.932000e-01,-1.649940e-06,
0,-1.981540e-01,-1.688175e-06,
0,-2.031070e-01,-1.714385e-06,
0,-2.080610e-01,-1.749426e-06,
0,-2.130150e-01,-1.771315e-06,
0,-2.179690e-01,-1.802599e-06,
0,-2.229230e-01,-1.820730e-06,
0,-2.278770e-01,-1.847786e-06,
0,-2.328300e-01,-1.862911e-06,
0,-2.377840e-01,-1.885363e-06,
0,-2.427380e-01,-1.898985e-06,
0,-2.476920e-01,-1.916083e-06,
0,-2.526460e-01,-1.928672e-06,
0,-2.576000e-01,-1.941072e-06,
0,-2.625540e-01,-1.953379e-06,
0,-2.675070e-01,-1.961740e-06,
0,-2.724610e-01,-1.973953e-06,
0,-2.774150e-01,-1.978838e-06,
0,-2.823690e-01,-1.991426e-06,
0,-2.873230e-01,-1.993023e-06,
0,-2.922770e-01,-2.006363e-06,
0,-2.972310e-01,-2.007585e-06,
0,-3.021840e-01,-2.020549e-06,
0,-2.972310e-01,-1.861596e-06,
0,-2.922770e-01,-1.755533e-06,
0,-2.873230e-01,-1.659052e-06,
0,-2.823690e-01,-1.585588e-06,
0,-2.774150e-01,-1.513627e-06,
0,-2.724610e-01,-1.454442e-06,
0,-2.675070e-01,-1.397888e-06,
0,-2.625540e-01,-1.347627e-06,
0,-2.576000e-01,-1.302252e-06,
0,-2.526460e-01,-1.256408e-06,
0,-2.476920e-01,-1.218736e-06,
0,-2.427380e-01,-1.176273e-06,
0,-2.377840e-01,-1.144520e-06,
0,-2.328300e-01,-1.103373e-06,
0,-2.278770e-01,-1.075190e-06,
0,-2.229230e-01,-1.036485e-06,
0,-2.179690e-01,-1.010274e-06,
0,-2.130150e-01,-9.728850e-07,
0,-2.080610e-01,-9.476140e-07,
0,-2.031070e-01,-9.123840e-07,
