file,potential,t_min,model,A,beta,C,M,r2,n_points,t_max_used,sigma_noise,resid_mad,mad_ratio,runs_z,runs_p,rho1_bin,bin_excess
Ca1,0.4,0.1,simple,1.553315099141044e-06,0.6074080498164658,2.0397762526659075e-07,,0.9995852176200862,1072,53.65534745236975,3.1513596804442146e-09,6.900056526155574e-09,2.189549028304806,-6.859880125776266,6.891835521328598e-12,0.9218380966420039,10.265579022095167
Ca1,0.4,0.1,linear,1.6257978318406375e-06,0.5866091356975975,1.4942206569924973e-07,9.243842027760074e-10,0.9999371302114497,1072,53.65534745236975,3.1513596804442146e-09,2.5047010174878085e-09,0.7948001089912868,-6.590632377463342,4.3795710091185766e-11,0.9214088653202969,3.4082321109631053
Ca1,0.4,0.2,simple,1.55073423606233e-06,0.6145223193975595,2.092841807122277e-07,,0.999508339699894,1070,53.65534745236975,3.1513596804442146e-09,7.057456899529975e-09,2.2394958415331248,-6.859880125776266,6.891835521328598e-12,0.9340892193748107,10.473542691005779
Ca1,0.4,0.2,linear,1.6317748251946389e-06,0.5836920481255976,1.444618802123881e-07,9.802461455497677e-10,0.999949076171059,1070,53.65534745236975,3.1513596804442146e-09,2.3955095716525994e-09,0.7601511139835772,-6.318368127855002,2.643397247911566e-10,0.846402020708682,3.072504669643344
Ca1,0.4,0.3,simple,1.550684465578977e-06,0.62185368495895,2.142053151980459e-07,,0.999487022800481,1068,53.65534745236975,3.1513596804442146e-09,6.963433798447684e-09,2.209660116444125,-6.8640319830938346,6.694363245587453e-12,0.9341742300727015,10.115299970982077
Ca1,0.4,0.3,linear,1.63058767688626e-06,0.5847237252825236,1.4588670038422165e-07,9.662583939365453e-10,0.9999373928916341,1068,53.65534745236975,3.1513596804442146e-09,2.415789960636749e-09,0.7665865548854836,-6.318368127855002,2.643397247911566e-10,0.8682936289514076,3.1249193824346166
Ca1,0.4,0.4,simple,1.5521173423423713e-06,0.6271590272247131,2.174622733087053e-07,,0.9994524973083387,1066,53.65534745236975,3.1513596804442146e-09,7.278652732645956e-09,2.309686443541716,-6.585760416211651,4.5256309809363584e-11,0.9265074017652035,9.652885361612313
Ca1,0.4,0.4,linear,1.6313831956870275e-06,0.5838889043083115,1.4479003570150438e-07,9.766525739167854e-10,0.9999262076153399,1066,53.65534745236975,3.1513596804442146e-09,2.3912588327525285e-09,0.7588022552904712,-6.318368127855002,2.643397247911566e-10,0.8632925478515157,3.0666161977028783
Ca1,0.4,0.5,simple,1.5541102464712597e-06,0.6314107633116613,2.1991460138563086e-07,,0.9994113841440319,1064,53.65534745236975,3.1513596804442146e-09,7.23306723361913e-09,2.295221100436101,-6.585760416211651,4.5256309809363584e-11,0.9276351185816163,9.56132947399438
Ca1,0.4,0.5,linear,1.6330189512886918e-06,0.5818142673278802,1.4216782735398617e-07,1.0006182009603414e-09,0.9999175921725226,1064,53.65534745236975,3.1513596804442146e-09,2.360596737949667e-09,0.7490724567552117,-6.318368127855002,2.643397247911566e-10,0.8386814335669404,3.1237541448085016
Ca1,0.4,0.6,simple,1.556558775210364e-06,0.6352910930859578,2.2203637657487806e-07,,0.999372625807535,1062,53.65534745236975,3.1513596804442146e-09,7.119806518346266e-09,2.259280831232397,-6.585760416211651,4.5256309809363584e-11,0.9287649793907605,9.849644441327385
Ca1,0.4,0.6,linear,1.6344979363896118e-06,0.5795350004062341,1.393754622510347e-07,1.0252664529416257e-09,0.999910142224604,1062,53.65534745236975,3.1513596804442146e-09,2.3252223923469087e-09,0.7378473510263184,-6.31971094582232,2.62053007157364e-10,0.8294730630820482,2.807693705664936
Ca1,0.4,0.7,simple,1.559243363763985e-06,0.6387980952484608,2.2386876459377629e-07,,0.999333491585838,1060,53.65534745236975,3.1513596804442146e-09,6.98953424789993e-09,2.217942398410926,-6.512606558936022,7.385778329125494e-11,0.9070463312486297,9.37442474239813
Ca1,0.4,0.7,linear,1.6359308565616508e-06,0.5768394230681394,1.361546848587268e-07,1.0527818119457622e-09,0.9999041712713663,1060,53.65534745236975,3.1513596804442146e-09,2.281610035669368e-09,0.72400813205421,-6.241179866284145,4.342825090031645e-10,0.7955810335860819,2.7383725533806613
Ca1,0.4,0.8,simple,1.5604625925450737e-06,0.6341245289555897,2.2068192828456378e-07,,0.9992718205822374,1058,53.65534745236975,3.1513596804442146e-09,6.752192778826943e-09,2.1426284091681835,-6.506423548586262,7.696104131358366e-11,0.9314544024228445,9.182402666655907
Ca1,0.4,0.8,linear,1.6370436616320925e-06,0.5742761139316672,1.3315181044604326e-07,1.0776784429861293e-09,0.999898142569183,1058,53.65534745236975,3.1513596804442146e-09,2.2596842910433416e-09,0.7170505813937486,-6.241179866284145,4.342825090031645e-10,0.7974425668156941,2.5779265507584026
Ca1,0.4,0.9,simple,1.565417178101293e-06,0.6454359045558402,2.271438771248983e-07,,0.9992610882030639,1056,53.65534745236975,3.1513596804442146e-09,6.654685681033366e-09,2.111687130583369,-6.512606558936022,7.385778329125494e-11,0.9025649742205085,9.102648049902442
Ca1,0.4,0.9,linear,1.6380754487711197e-06,0.5713476833149601,1.2977401217894918e-07,1.1049183285772596e-09,0.9998933283179228,1056,53.65534745236975,3.1513596804442146e-09,2.206236306546153e-09,0.7000902880864309,-6.241179866284145,4.342825090031645e-10,0.7919321243003905,2.5181360931423242
Ca1,0.4,1.0,simple,1.5685819855075022e-06,0.6483838009153234,2.285259304193757e-07,,0.9992229192915821,1054,53.65534745236975,3.1513596804442146e-09,6.470605727881447e-09,2.0532742638153425,-6.506423548586262,7.696104131358366e-11,0.8983482447206073,9.237255048225569
Ca1,0.4,1.0,linear,1.6390626264146343e-06,0.5679249422038365,1.2586485140834708e-07,1.1356442611741618e-09,0.9998905719734964,1054,53.65534745236975,3.1513596804442146e-09,2.151935326311271e-09,0.6828593193170305,-6.238358040414742,4.4218764695304095e-10,0.7929438334365512,2.462902878782305
Ca1,0.4,2.0,simple,1.6107188998646588e-06,0.6772020598377195,2.402372790775687e-07,,0.9988967915497732,1034,53.65534745236975,3.1513596804442146e-09,5.636749977026788e-09,1.7886723664092299,-6.4382915237165905,1.2082576881139674e-10,0.8723647805009157,8.240617279091367
Ca1,0.4,2.0,linear,1.6413683800320684e-06,0.5335174019180621,8.72348376010047e-08,1.4040706201450994e-09,0.9998732610819173,1034,53.65534745236975,3.1513596804442146e-09,2.041955639424122e-09,0.6479601970208265,-6.160939746930995,7.231450477227611e-10,0.7273814626776637,1.3084142082563133
Ca1,0.4,3.0,simple,1.67511103898851e-06,0.7095038944392558,2.5085469394443404e-07,,0.9986964909949673,1014,53.65534745236975,3.1513596804442146e-09,4.951150017687011e-09,1.5711154929129192,-6.358257063031303,2.0405578369502418e-10,0.8644678464988231,7.659692450052144
Ca1,0.4,3.0,linear,1.637801232326156e-06,0.509161596921965,5.967712673748888e-08,1.5636044036386062e-09,0.9998386172222743,1014,53.65534745236975,3.1513596804442146e-09,2.1132824085072725e-09,0.6705938460853141,-6.081947416345562,1.1873151131670526e-09,0.716598609452568,0.8011812685371953
Ca1,0.4,4.0,simple,1.761142115180597e-06,0.7448166920123066,2.605758016683553e-07,,0.9985533094731169,994,53.65534745236975,3.1513596804442146e-09,4.619080747356556e-09,1.4657421607632715,-6.2823445720257425,3.3350463768457157e-10,0.8578885554066525,6.688194747144038
Ca1,0.4,4.0,linear,1.6331410378577079e-06,0.4898155129278191,3.727964052772145e-08,1.6769522305588727e-09,0.9997928728142824,994,53.65534745236975,3.1513596804442146e-09,2.190582897738182e-09,0.6951230960184773,-5.715476066494082,1.0939731836650465e-08,0.7158365808844722,0.5038276251003498
Ca1,0.4,5.0,simple,1.8637805230782057e-06,0.7802786286044232,2.688092058950823e-07,,0.9984379225039294,974,53.65534745236975,3.1513596804442146e-09,4.069647913424314e-09,1.291394295192181,-6.205100331774946,5.46620180037232e-10,0.8570259365494559,5.813802100216347
Ca1,0.4,5.0,linear,1.6286439986599243e-06,0.474107760120061,1.8599187228025187e-08,1.7617761113521073e-09,0.9997317207051656,974,53.65534745236975,3.1513596804442146e-09,2.2378889568852476e-09,0.7101344130193973,-5.625405543868421,1.8507265510302017e-08,0.7084877200012648,0.35255198050290365
Ca2,0.4,0.1,simple,1.4994665451985645e-06,0.63456301757194,2.3776530394306242e-07,,0.9996555233435641,854,42.79583433936073,3.938675422298416e-09,7.807184222267408e-09,1.9821852235063133,-5.700055704218277,1.1976828581139612e-08,0.8604796362882254,8.970136639504252
