scan,potential,current,time
0,3.963080e-02,1.748290e-07,
0,4.458466e-02,1.862910e-07,
0,4.953850e-02,1.986910e-07,
0,5.449236e-02,2.109040e-07,
0,5.944621e-02,2.206740e-07,
0,6.440006e-02,2.337320e-07,
0,6.935391e-02,2.410600e-07,
0,7.430775e-02,2.550580e-07,
0,7.926161e-02,2.601310e-07,
0,8.421546e-02,2.745040e-07,
0,8.916931e-02,2.782620e-07,
0,9.412316e-02,2.920720e-07,
0,9.907701e-02,2.950780e-07,
0,1.040309e-01,3.087940e-07,
0,1.089847e-01,3.118940e-07,
0,1.139386e-01,3.243880e-07,
0,1.188924e-01,3.279580e-07,
0,1.238463e-01,3.385740e-07,
0,1.288001e-01,3.436470e-07,
0,1.337540e-01,3.520080e-07,
0,1.387070e-01,3.587720e-07,
0,1.436610e-01,3.653480e-07,
0,1.486150e-01,3.733330e-07,
0,1.535690e-01,3.776550e-07,
0,1.585230e-01,3.873310e-07,
0,1.634770e-01,3.897740e-07,
0,1.684300e-01,4.006710e-07,
0,1.733840e-01,4.018920e-07,
0,1.783380e-01,4.134470e-07,
0,1.832920e-01,4.139170e-07,
0,1.882460e-01,4.255660e-07,
0,1.932000e-01,4.263180e-07,
0,1.981540e-01,4.371210e-07,
0,2.031070e-01,4.383430e-07,
0,2.080610e-01,4.482070e-07,
0,2.130150e-01,4.508370e-07,
0,2.179690e-01,4.588220e-07,
0,2.229230e-01,4.631440e-07,
0,2.278770e-01,4.691560e-07,
0,2.328300e-01,4.753570e-07,
0,2.377840e-01,4.798660e-07,
0,2.427380e-01,4.874750e-07,
0,2.476920e-01,4.896360e-07,
0,2.526460e-01,4.991240e-07,
0,2.576000e-01,5.002520e-07,
0,2.625540e-01,5.105860e-07,
0,2.675070e-01,5.106800e-07,
0,2.724610e-01,5.216710e-07,
0,2.774150e-01,5.215770e-07,
0,2.823690e-01,5.312530e-07,
0,2.873230e-01,5.322870e-07,
0,2.922770e-01,5.420570e-07,
0,2.972310e-01,5.436540e-07,
0,3.021840e-01,5.520150e-07,
0,2.972310e-01,4.243450e-07,
0,2.922770e-01,3.452440e-07,
0,2.873230e-01,2.837110e-07,
