file,solution,order_src,transform_mode,fit_line,Epa,Epc,E_half,ipa,ipc,ip_ratio,dr_min
Cv2,sample,baseline_0.5,continuous,frozen,0.1800738403234426,0.1867799792210423,0.18342690977224246,2.1686927867498003e-06,-2.1391038786412555e-06,0.9863563395012304,1.0
Cv2,sample,baseline_0.5,continuous,frozen_locks,0.1792740090659473,0.1866562812712919,0.18296514516861961,2.1686927867806632e-06,-2.1391039098624715e-06,0.9863563538835229,1.0
Cv2,sample,baseline_0.5,continuous,joint_locks,0.1786231339997482,0.1825311559956386,0.1805771449976934,2.205902405926561e-06,-2.178821929550012e-06,0.9877236289766074,1.0
Cv2,sample,baseline_0.5,per_scan,frozen,0.1930557204684453,0.1893900608202463,0.19122289064434578,2.816327904042252e-06,-1.960978555433898e-06,0.6962891475169924,0.2
Cv2,sample,baseline_0.5,per_scan,frozen_locks,0.1940128479904856,0.1882976151711585,0.19115523158082204,2.8188153151563498e-06,-1.966581566235894e-06,0.6976624384229353,0.2
Cv2,sample,baseline_0.5,per_scan,joint_locks,0.1891862263080466,0.1830213473324076,0.1861037868202271,3.6899957735789297e-06,-2.02468504108881e-06,0.5486957615469208,0.2
Cv2,sample,ca_beta,continuous,frozen,0.1885015565748587,0.1800515169346736,0.18427653675476616,2.290760103935777e-06,-2.1205971042430503e-06,0.9257176692573055,1.0
Cv2,sample,ca_beta,continuous,frozen_locks,0.1885015564073617,0.1800515115738001,0.1842765339905809,2.290760222043869e-06,-2.1205963499225153e-06,0.9257172922404207,1.0
Cv2,sample,ca_beta,continuous,joint_locks,0.1854817946315876,0.1771538148273824,0.181317804729485,2.3363669868084892e-06,-2.1466989434265618e-06,0.9188192418173924,1.0
Cv2,sample,ca_beta,per_scan,frozen,0.1940791530372875,0.1732989975486223,0.18368907529295492,2.941726996817053e-06,-2.0441513232238276e-06,0.6948813827508801,0.2
Cv2,sample,ca_beta,per_scan,frozen_locks,0.1940796719541637,0.1732989978489286,0.18368933490154615,2.9417269685798204e-06,-2.0441513231839777e-06,0.6948813894074044,0.2
Cv2,sample,ca_beta,per_scan,joint_locks,0.1902790011083369,0.1735886098411483,0.18193380547474258,3.853479071455192e-06,-2.076075857041112e-06,0.538753634973583,0.2
Cv3,blank,baseline_0.5,continuous,frozen,0.1832920000015278,0.356677000001528,0.2699845000015279,6.161374903626538e-07,-6.797715947477504e-07,1.103279065761186,0.2
Cv3,blank,baseline_0.5,continuous,frozen_locks,0.2823689999984665,0.4153236215165191,0.3488463107574928,7.049717899884066e-07,-7.582040596437677e-07,1.075509786932377,0.2
Cv3,blank,baseline_0.5,continuous,joint_locks,0.5647371949302182,0.455753999998472,0.5102455974643452,6.21561036373457e-08,-2.4280758803966324e-07,3.9064158438299437,0.2
Cv3,blank,baseline_0.5,per_scan,frozen,0.1832920000015278,0.356677000001528,0.2699845000015279,6.538350078898936e-07,-7.14504686861497e-07,1.0927905025572144,0.2
Cv3,blank,baseline_0.5,per_scan,frozen_locks,0.282368999998473,0.4151800665850086,0.3487745332917408,7.032767437969883e-07,-7.563543361426664e-07,1.0754718435009132,0.2
Cv3,blank,baseline_0.5,per_scan,joint_locks,0.5647379883433564,0.4557539999984528,0.5102459941709045,6.207758510850112e-08,-2.428594329993797e-07,3.9121920186634593,0.2
Cv4,sample,baseline_0.5,continuous,frozen,0.1783303914634401,0.1759418969375776,0.17713614420050885,2.1892705929771287e-06,-2.3786431560992136e-06,1.0865003000221012,0.8
Cv4,sample,baseline_0.5,continuous,frozen_locks,0.17861268314157,0.17519355595768776,0.1769031195496289,2.1803700350293634e-06,-2.396599858104075e-06,1.0991711588403845,0.8
Cv4,sample,baseline_0.5,continuous,joint_locks,0.1760860581125376,0.18133117735156606,0.17870861773205182,2.23654280360437e-06,-2.2427643308005392e-06,1.00278176084363,0.8
Cv4,sample,baseline_0.5,per_scan,frozen,0.1934206585167056,0.1826694291419323,0.18804504382931894,2.8523321954922636e-06,-2.006980774837511e-06,0.703627991861986,0.2
Cv4,sample,baseline_0.5,per_scan,frozen_locks,0.1934206910222766,0.1826694623860564,0.1880450767041665,2.8533151113890936e-06,-2.006980746221213e-06,0.7033855946054779,0.2
Cv4,sample,baseline_0.5,per_scan,joint_locks,0.1890581035639292,0.1797613756551295,0.18440973960952933,3.740238905226186e-06,-2.0521216942320124e-06,0.5486605926066942,0.2
Cv4,sample,ca_beta,continuous,frozen,0.1909441459108249,0.1748677829348217,0.1829059644228233,2.379349475613104e-06,-2.146408123953689e-06,0.9020987231817255,1.0
Cv4,sample,ca_beta,continuous,frozen_locks,0.1909441448687613,0.1748677841118446,0.18290596449030294,2.3793494804458474e-06,-2.1464081278787677e-06,0.9020987229990987,1.0
Cv4,sample,ca_beta,continuous,joint_locks,0.1876589252108671,0.1726742729111476,0.18016659906100735,2.4370171157629773e-06,-2.177830148132271e-06,0.8936458156349221,1.0
Cv4,sample,ca_beta,per_scan,frozen,0.1949085494090818,0.1687587759953712,0.1818336627022265,3.0225556653270764e-06,-2.091033903804204e-06,0.6918098904815139,0.2
Cv4,sample,ca_beta,per_scan,frozen_locks,0.1945946313525583,0.1687587760633908,0.18167670370797456,3.0081481211801457e-06,-2.0910339043505905e-06,0.695123318438935,0.2
Cv4,sample,ca_beta,per_scan,joint_locks,0.1903862425081317,0.1698728308017083,0.18012953665491999,3.940852099602886e-06,-2.1225252613246716e-06,0.5385955137820462,0.2
