Ep,bg,bic_margin,cluster,comp,file,fit_line,fwhm,ip,order,order_src,polarity,pon,scan,solution,status,transform_mode
0.178654395957782,Cv1,-2.45542463351444,1,0,Cv2,joint_locks,0.9728615028841071,2.210458471645576e-06,0.5,baseline_0.5,1,74.44805859145522,1,sample,unresolved_composite,continuous
0.18120195103635323,Cv1,-2.45542463351444,1,1,Cv2,joint_locks,0.9816490971473223,-2.2540022520335997e-06,0.5,baseline_0.5,-1,119.44717280887788,0,sample,unresolved_composite,continuous
0.5407263857223338,Cv1,-2.45542463351444,1,2,Cv2,joint_locks,2.717133883205231,-2.424312233120983e-07,0.5,baseline_0.5,-1,7.850055127297922,0,sample,unresolved_composite,continuous
0.17862313399974827,Cv1,-784.5881826538471,2,0,Cv2,joint_locks,0.9732909668016141,2.205902405926561e-06,0.5,baseline_0.5,1,77.13117188542532,2,sample,multi_resolved,continuous
0.18253115599563866,Cv1,-784.5881826538471,2,1,Cv2,joint_locks,0.9678994533867739,-2.182406684008437e-06,0.5,baseline_0.5,-1,74.61096801250191,1,sample,multi_resolved,continuous
0.17832932951648645,Cv1,-778.1492610693771,3,0,Cv2,joint_locks,0.9727095403741551,2.1981346414982353e-06,0.5,baseline_0.5,1,82.49661566364604,3,sample,multi_resolved,continuous
0.18263029876055545,Cv1,-778.1492610693771,3,1,Cv2,joint_locks,0.9674792865939924,-2.178821929550012e-06,0.5,baseline_0.5,-1,77.3382436034032,2,sample,multi_resolved,continuous
0.17977405300830082,Cv1,-118.88104322725007,4,0,Cv2,joint_locks,0.9821352687831252,2.2539806455273592e-06,0.5,baseline_0.5,1,155.4368920480095,4,sample,multi_resolved,continuous
0.179690662121517,Cv1,-118.88104322725007,4,1,Cv2,joint_locks,0.9523855654546243,-2.0646496921663674e-06,0.5,baseline_0.5,-1,147.25439158327652,4,sample,multi_resolved,continuous
0.18305950761762582,Cv1,-118.88104322725007,4,2,Cv2,joint_locks,0.9568194392754675,-2.1217047910113008e-06,0.5,baseline_0.5,-1,81.284313891799,3,sample,multi_resolved,continuous
0.5944620000015274,Cv1,-118.88104322725007,4,3,Cv2,joint_locks,2.3206308461622775,-3.609971507652085e-07,0.5,baseline_0.5,-1,15.853668813785575,4,sample,multi_resolved,continuous
0.4309839999984726,Cv1,-118.88104322725007,4,4,Cv2,joint_locks,11.860087166914164,1.2863816577360974e-06,0.5,baseline_0.5,1,26.218447609714314,4,sample,multi_resolved,continuous
0.17608330154699034,Cv1,-535.1380821204029,0,0,Cv2,frozen,0.9700591702996797,2.168692786732483e-06,0.5,baseline_0.5,1,116.17529258224292,0,sample,single_resolved,per_scan
0.19238235520342142,Cv1,-316.5027141637556,1,0,Cv2,frozen,1.124498371148184,2.7837775311988556e-06,0.5,baseline_0.5,1,82.7236457089754,1,sample,single_resolved,per_scan
0.19316014633767953,Cv1,-305.0844921175956,2,0,Cv2,frozen,1.1355087535091886,2.816327904042252e-06,0.5,baseline_0.5,1,80.49839436494777,2,sample,single_resolved,per_scan
0.19401279280823525,Cv1,-294.8756337414206,3,0,Cv2,frozen,1.1367810282272615,2.8205633766785207e-06,0.5,baseline_0.5,1,82.56162647746453,3,sample,single_resolved,per_scan
0.19305572046844535,Cv1,-298.4267702091657,4,0,Cv2,frozen,1.1442123766158034,2.83922009169995e-06,0.5,baseline_0.5,1,161.2379098306782,4,sample,single_resolved,per_scan
0.18939006082024631,Cv1,-89.30757352826731,5,0,Cv2,frozen,0.9336725806327516,-1.960978555433898e-06,0.5,baseline_0.5,-1,129.08284436730816,4,sample,multi_resolved,per_scan
0.5498770000015276,Cv1,-89.30757352826731,5,1,Cv2,frozen,1.3948581270888234,-1.7113431721250192e-07,0.5,baseline_0.5,-1,8.606821336025735,4,sample,multi_resolved,per_scan
0.1760833015147112,Cv1,-535.1380821206988,0,0,Cv2,frozen_locks,0.9700591694862737,2.1686927867764586e-06,0.5,baseline_0.5,1,116.175292611138,0,sample,single_resolved,per_scan
0.19484995775260455,Cv1,-16.93296967116879,1,0,Cv2,frozen_locks,1.1001101302667473,2.8188153151563498e-06,0.5,baseline_0.5,1,83.33510667026997,1,sample,single_resolved,per_scan
0.1931599363293204,Cv1,-305.08449211272807,2,0,Cv2,frozen_locks,1.1355077779696818,2.816327455089025e-06,0.5,baseline_0.5,1,80.49843949475184,2,sample,single_resolved,per_scan
0.19401284799048563,Cv1,-294.8756337429969,3,0,Cv2,frozen_locks,1.1367817840134806,2.8205633499067556e-06,0.5,baseline_0.5,1,82.56159780058695,3,sample,single_resolved,per_scan
0.19588306186613444,Cv1,-14.234228294346309,4,0,Cv2,frozen_locks,1.115281750865954,2.8816575414629136e-06,0.5,baseline_0.5,1,162.6089079080573,4,sample,single_resolved,per_scan
0.1882976151711585,Cv1,-191.73836147419468,5,0,Cv2,frozen_locks,0.9348884166410835,-1.9665815662358934e-06,0.5,baseline_0.5,-1,129.35815105831205,4,sample,multi_resolved,per_scan
0.5944620000028437,Cv1,-191.73836147419468,5,1,Cv2,frozen_locks,0.366182158421662,-1.210859380925572e-07,0.5,baseline_0.5,-1,9.558665498589884,4,sample,multi_resolved,per_scan
0.1740458387640845,Cv1,-501.5620533825859,0,0,Cv2,joint_locks,0.9715683819260357,2.193131057492833e-06,0.5,baseline_0.5,1,117.4497729108402,0,sample,single_resolved,per_scan
0.18859753492710435,Cv1,-258.5191364385249,1,0,Cv2,joint_locks,1.3343933586390009,3.6327276192837424e-06,0.5,baseline_0.5,1,99.61788880297581,1,sample,single_resolved,per_scan
0.18918622630804668,Cv1,-246.51315918232092,2,0,Cv2,joint_locks,1.3542046594569925,3.6899957735789293e-06,0.5,baseline_0.5,1,97.20233417082018,2,sample,single_resolved,per_scan
0.18955582392718182,Cv1,-236.39909369826393,3,0,Cv2,joint_locks,1.3630846588108028,3.715022847740704e-06,0.5,baseline_0.5,1,100.07272322024546,3,sample,single_resolved,per_scan
0.18954050766937883,Cv1,-238.98768425335146,4,0,Cv2,joint_locks,1.3673351052499871,3.723908206093587e-06,0.5,baseline_0.5,1,194.68071850847656,4,sample,single_resolved,per_scan
