fp_Ehalf,fp_Ehalf_err,fp_Epa,fp_Epc,fp_ipa,fp_ipc,lin_Ehalf,lin_Ehalf_err,lin_Epa,lin_Epc,lin_ipa,lin_ipc,n_blanks,pearson_Ehalf,pearson_Ehalf_err,pearson_a_Ep,pearson_a_expon,pearson_a_ip,pearson_a_peak_over_noise,pearson_a_r2,pearson_a_redchi,pearson_a_sd_height,pearson_a_sigma,pearson_a_skew,pearson_c_Ep,pearson_c_expon,pearson_c_ip,pearson_c_peak_over_noise,pearson_c_r2,pearson_c_redchi,pearson_c_sd_height,pearson_c_sigma,pearson_c_skew,pearson_ip_ratio,plan,sample,scan
nan,nan,-0.217969,nan,5.764859558696024e-07,nan,-0.106507575,-0.296507575,-0.217969,0.00495385,5.764859558696024e-07,-3.598152e-06,5,0.19567707999474232,0.005677079994742318,0.2972309999887831,5.535645404506439,6.812576123753835e-07,60.34729020993386,0.9516659429302048,0.0032598610650380493,0.7056769849228145,1.1037901903713139,6.959708225364125,0.09412316000070152,18.720318473452476,-1.7727456271536988e-06,40.98103974777852,0.9759226074211048,0.007588047254572153,1.57715622986659,3.605840208465372,6.036907432280827,2.6021663390630687,Y_unpolished_5a,11,0
nan,nan,-0.222923,nan,4.3227470277380663e-07,nan,-0.108984575,-0.298984575,-0.222923,0.00495385,4.3227470277380663e-07,-3.645593e-06,5,0.1932001550000009,0.0032001550000008983,0.297231,6.285729531718745,6.714098117747521e-07,73.89235801487274,0.944178461001024,0.00367582674017241,0.6998697843594043,1.1727192193941751,7.960849319472231,0.08916931000000176,18.480507340540484,-1.699400270461838e-06,55.73334397564712,0.9768442687994763,0.00693936568680276,1.5302814301661922,3.478708078435483,6.487594682429176,2.5310923979049047,Y_unpolished_5a,11,1
nan,nan,-0.23283,nan,4.1113000685013126e-07,nan,-0.116415,-0.306415,-0.23283,0.0,4.1113000685013126e-07,-3.665886e-06,5,0.19567708000029638,0.005677080000296375,0.297231,6.177867709550911,6.744752449109608e-07,65.54284897919985,0.9474038697855702,0.003455284480592683,0.7017065816130867,1.1595645817815412,7.929845784633471,0.09412316000059276,19.349926366097257,-1.7828140898441927e-06,41.03194861296274,0.9777148157856068,0.007146378904779883,1.5839514052535428,3.6827276354091483,6.073394800873757,2.643260969614306,Y_unpolished_5a,11,2
nan,nan,-0.23283,nan,3.9138481564212525e-07,nan,-0.113938075,-0.30393807500000003,-0.23283,0.00495385,3.9138481564212525e-07,-3.675843e-06,5,0.19567708000423473,0.005677080004234725,0.297231,6.258726348039361,6.724711117801845e-07,62.66015793035647,0.9463022027779588,0.0035130743661646413,0.6998064564982457,1.172031532193687,7.953051520884287,0.09412316000846946,16.73754740060684,-1.7701836865407218e-06,43.88011183139496,0.9758600973075169,0.007570457556929057,1.5742312868931079,3.3975827482034235,5.749926012012452,2.6323564767780754,Y_unpolished_5a,12,0
nan,nan,-0.23283,nan,3.9244077856206804e-07,nan,-0.113938075,-0.30393807500000003,-0.23283,0.00495385,3.9244077856206804e-07,-3.6816680000000002e-06,5,0.1932001550154246,0.0032001550154245884,0.297231,6.669189568162482,6.709704325778616e-07,75.6805180137962,0.9448533642323924,0.0036440340000141874,0.7003968756437783,1.2231546512995597,8.177648072623015,0.08916931003084913,18.016183613927144,-1.694588679222743e-06,59.91973759784948,0.9771743686244049,0.006821394161774711,1.5271885866686048,3.423665599308422,6.454597054309033,2.5255787691152807,Y_unpolished_5a,12,1
nan,nan,-0.23283,nan,3.885721439421014e-07,nan,-0.116415,-0.306415,-0.23283,0.0,3.885721439421014e-07,-3.679131e-06,5,0.19320015500905616,0.003200155009056155,0.297231,6.667431036585372,6.703672213371666e-07,77.57834494975174,0.9478983517946009,0.0034276501103831587,0.6999081688252458,1.2209116566530058,8.20312744353862,0.08916931001811229,22.026223491292733,-1.706826862836939e-06,41.05357108237027,0.9790740983314296,0.006360736650016447,1.5354914134170923,3.8293735955147223,7.043480113644478,2.546107280472887,Y_unpolished_5a,12,2
nan,nan,-0.23283,nan,3.744918033118894e-07,nan,-0.113938075,-0.30393807500000003,-0.23283,0.00495385,3.744918033118894e-07,-3.676219e-06,5,0.19567708000101747,0.005677080001017465,0.297230999995549,6.293812761945573,6.721628169064982e-07,67.76695947326861,0.9511827343416288,0.0032605929068611015,0.6985961176550605,1.208628512568735,7.392015833670939,0.09412316000648598,17.24672121653927,-1.77471506026814e-06,58.84384596158905,0.9759833738120598,0.007556720308193827,1.5777700556617085,3.4547893423533766,5.856840601260728,2.6403053183392817,Y_unpolished_5a,13,0
nan,nan,-0.23283,nan,3.798331247319515e-07,nan,-0.113938075,-0.30393807500000003,-0.23283,0.00495385,3.798331247319515e-07,-3.676219e-06,5,0.1907231549539366,0.0007231549539366,0.29227699989432065,6.453624945485564,6.797034060076892e-07,74.70589129139726,0.949228128967514,0.0035041902414672554,0.7080934177892811,1.2604690861721477,6.795753226065585,0.08916931001355258,18.790585351499313,-1.6892608768008652e-06,48.64067418534958,0.9779257976234695,0.006577920602329263,1.5243929138034928,3.4919537051400757,6.606889508416771,2.4852911753420805,Y_unpolished_5a,13,1
nan,nan,-0.237784,nan,3.7692705821618604e-07,nan,-0.118892,-0.308892,-0.237784,0.0,3.7692705821618604e-07,-3.676407e-06,5,0.19320015502343732,0.0032001550234373177,0.297231,6.569408215016366,6.784857545310271e-07,56.95589516539221,0.9496700656105624,0.0033646813973275025,0.7074701511018063,1.2078551271790494,8.190805540989118,0.08916931004687463,20.766631670744097,-1.7011643591182607e-06,43.98085787432385,0.9795563868797791,0.006194284293422451,1.5324479917864602,3.7005430195697517,6.867334575323639,2.5072956178632144,Y_unpolished_5a,13,2
nan,nan,-0.237784,nan,3.66973556561565e-07,nan,-0.11641507499999999,-0.306415075,-0.237784,0.00495385,3.66973556561565e-07,-3.672368e-06,5,0.19072315500048012,0.000723155000480119,0.2922769999999349,6.2514505022720215,6.804994434751263e-07,66.654223446243,0.9505845400809007,0.0033982227977381865,0.7083122055101433,1.2322726100734105,6.722504512024443,0.08916931000102535,20.32163618198071,-1.6866070295265342e-06,44.453913092253835,0.9776920158360097,0.006639495553406425,1.5223490470399912,3.6391604582861827,6.908157215626602,2.478484068867844,Y_unpolished_5a,14,0
