scan,potential,current,time
,0.000000e+00,-2.843910e-07,
,0.000000e+00,-9.479726e-08,
,0.000000e+00,-9.479726e-08,
,0.000000e+00,-1.597040e-07,
,0.000000e+00,-1.409160e-07,
,0.000000e+00,-1.221273e-07,
,0.000000e+00,-1.277640e-07,
,0.000000e+00,-1.202484e-07,
,0.000000e+00,-1.127329e-07,
,0.000000e+00,-1.090691e-07,
,0.000000e+00,-1.046537e-07,
,0.000000e+00,-1.008960e-07,
,0.000000e+00,-9.770186e-08,
,0.000000e+00,-9.488353e-08,
,0.000000e+00,-9.253494e-08,
,0.000000e+00,-9.065605e-08,
,0.000000e+00,-8.905900e-08,
,0.000000e+00,-8.736801e-08,
,0.000000e+00,-8.586490e-08,
,0.000000e+00,-8.454968e-08,
,0.000000e+00,-8.332841e-08,
,0.000000e+00,-8.220108e-08,
,0.000000e+00,-8.107375e-08,
,0.000000e+00,-7.994642e-08,
,0.000000e+00,-7.881910e-08,
0,0.000000e+00,-5.542702e-08,
0,-4.953850e-03,-1.448610e-07,
0,-9.907701e-03,-1.468340e-07,
0,-1.486155e-02,-1.988790e-07,
0,-1.981540e-02,-2.016040e-07,
0,-2.476925e-02,-2.418120e-07,
0,-2.972310e-02,-2.582520e-07,
0,-3.467696e-02,-2.870930e-07,
0,-3.963080e-02,-3.185640e-07,
0,-4.458466e-02,-3.405470e-07,
0,-4.953850e-02,-3.840430e-07,
0,-5.449236e-02,-3.993560e-07,
0,-5.944621e-02,-4.551590e-07,
0,-6.440006e-02,-4.644590e-07,
0,-6.935391e-02,-5.292810e-07,
0,-7.430775e-02,-5.366080e-07,
0,-7.926161e-02,-6.072540e-07,
0,-8.421546e-02,-6.127970e-07,
0,-8.916931e-02,-6.888920e-07,
0,-9.412316e-02,-6.931190e-07,
0,-9.907701e-02,-7.721260e-07,
0,-1.040309e-01,-7.758840e-07,
0,-1.089847e-01,-8.581790e-07,
0,-1.139386e-01,-8.625940e-07,
0,-1.188924e-01,-9.443250e-07,
0,-1.238463e-01,-9.530620e-07,
0,-1.288001e-01,-1.028969e-06,
0,-1.337540e-01,-1.044846e-06,
0,-1.387070e-01,-1.112767e-06,
0,-1.436610e-01,-1.137850e-06,
0,-1.486150e-01,-1.193559e-06,
0,-1.535690e-01,-1.230667e-06,
0,-1.585230e-01,-1.271909e-06,
0,-1.634770e-01,-1.319632e-06,
0,-1.684300e-01,-1.350070e-06,
0,-1.733840e-01,-1.405309e-06,
0,-1.783380e-01,-1.424380e-06,
0,-1.832920e-01,-1.487604e-06,
0,-1.882460e-01,-1.496999e-06,
0,-1.932000e-01,-1.563605e-06,
0,-1.981540e-01,-1.567457e-06,
0,-2.031070e-01,-1.636599e-06,
0,-2.080610e-01,-1.634815e-06,
0,-2.130150e-01,-1.705836e-06,
0,-2.179690e-01,-1.699542e-06,
0,-2.229230e-01,-1.771785e-06,
0,-2.278770e-01,-1.762297e-06,
0,-2.328300e-01,-1.833882e-06,
0,-2.377840e-01,-1.823548e-06,
0,-2.427380e-01,-1.891940e-06,
0,-2.476920e-01,-1.884518e-06,
0,-2.526460e-01,-1.945488e-06,
0,-2.576000e-01,-1.945394e-06,
0,-2.625540e-01,-1.997157e-06,
0,-2.675070e-01,-2.006082e-06,
0,-2.724610e-01,-2.045162e-06,
0,-2.774150e-01,-2.067803e-06,
0,-2.823690e-01,-2.092886e-06,
0,-2.873230e-01,-2.126142e-06,
0,-2.922770e-01,-2.141925e-06,
0,-2.972310e-01,-2.185421e-06,
0,-3.021840e-01,-2.191245e-06,
0,-2.972310e-01,-2.050611e-06,
0,-2.922770e-01,-1.894570e-06,
0,-2.873230e-01,-1.818945e-06,
0,-2.823690e-01,-1.692308e-06,
0,-2.774150e-01,-1.643551e-06,
0,-2.724610e-01,-1.529409e-06,
0,-2.675070e-01,-1.498220e-06,
0,-2.625540e-01,-1.392908e-06,
0,-2.576000e-01,-1.374026e-06,
0,-2.526460e-01,-1.274821e-06,
0,-2.476920e-01,-1.263360e-06,
0,-2.427380e-01,-1.170637e-06,
0,-2.377840e-01,-1.161806e-06,
0,-2.328300e-01,-1.077914e-06,
0,-2.278770e-01,-1.065701e-06,
0,-2.229230e-01,-9.934580e-07,
0,-2.179690e-01,-9.756090e-07,
0,-2.130150e-01,-9.160480e-07,
0,-2.080610e-01,-8.877710e-07,
0,-2.031070e-01,-8.442750e-07,
0,-1.981540e-01,-8.035970e-07,
0,-1.932000e-01,-7.732530e-07,
0,-1.882460e-01,-7.246840e-07,
0,-1.832920e-01,-7.049560e-07,
0,-1.783380e-01,-6.466170e-07,
0,-1.733840e-01,-6.377860e-07,
0,-1.684300e-01,-5.724010e-07,
0,-1.634770e-01,-5.694890e-07,
0,-1.585230e-01,-5.008150e-07,
0,-1.535690e-01,-5.024130e-07,
0,-1.486150e-01,-4.310150e-07,
0,-1.436610e-01,-4.362760e-07,
0,-1.387070e-01,-3.625300e-07,
0,-1.337540e-01,-3.707030e-07,
0,-1.288001e-01,-2.962990e-07,
0,-1.238463e-01,-3.061630e-07,
0,-1.188924e-01,-2.332630e-07,
0,-1.139386e-01,-2.414360e-07,
0,-1.089847e-01,-1.748290e-07,
0,-1.040309e-01,-1.768960e-07,
0,-9.907701e-02,-1.197787e-07,
0,-9.412316e-02,-1.158331e-07,
0,-8.916931e-02,-6.998834e-08,
0,-8.421546e-02,-5.411180e-08,
0,-7.926161e-02,-2.442546e-08,
0,-7.430775e-02,2.912266e-09,
0,-6.935391e-02,1.925854e-08,
0,-6.440006e-02,5.439363e-08,
0,-5.944621e-02,6.003028e-08,
0,-5.449236e-02,1.027748e-07,
0,-4.953850e-02,9.704425e-08,
0,-4.458466e-02,1.462700e-07,
0,-3.963080e-02,1.334946e-07,
0,-3.467696e-02,1.841300e-07,
0,-2.972310e-02,1.665620e-07,
0,-2.476925e-02,2.197350e-07,
0,-1.981540e-02,1.974700e-07,
0,-1.486155e-02,2.518640e-07,
0,-9.907701e-03,2.264990e-07,
0,-4.953850e-03,2.811740e-07,
0,0.000000e+00,2.537420e-07,
0,4.953850e-03,3.074790e-07,
0,9.907701e-03,2.816440e-07,
0,1.486155e-02,3.303070e-07,
0,1.981540e-02,3.097330e-07,
0,2.476925e-02,3.502230e-07,
0,2.972310e-02,3.367890e-07,
0,3.467696e-02,3.680720e-07,
0,3.963080e-02,3.647840e-07,
0,4.458466e-02,3.825400e-07,
0,4.953850e-02,3.923100e-07,
0,5.449236e-02,3.975710e-07,
0,5.944621e-02,4.159840e-07,
0,6.440006e-02,4.125080e-07,
0,6.935391e-02,4.392820e-07,
0,7.430775e-02,4.259420e-07,
0,7.926161e-02,4.609830e-07,
0,8.421546e-02,4.404090e-07,
0,8.916931e-02,4.793020e-07,
0,9.412316e-02,4.543130e-07,
0,9.907701e-02,4.962120e-07,
0,1.040309e-01,4.687810e-07,
0,1.089847e-01,5.130280e-07,
0,1.139386e-01,4.825900e-07,
0,1.188924e-01,5.281530e-07,
0,1.238463e-01,4.958360e-07,
0,1.288001e-01,5.420570e-07,
0,1.337540e-01,5.097400e-07,
0,1.387070e-01,5.538940e-07,
0,1.436610e-01,5.249590e-07,
0,1.486150e-01,5.631940e-07,
0,1.535690e-01,5.404600e-07,
