group,file,model,fit_start_s,fit_end_s,n_points,A,A_se,beta,beta_se,C,C_se,M_linear_drift,M_linear_drift_se,rmse,r2,success,message,time_min_s,time_max_s,current_min_a,current_max_a
接着第一个立刻做的,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/接着第一个立刻做的.csv,beta_plus_linear_drift,0.5,120.0006,2391,4.669371513014985e-07,4.0380103890237255e-09,0.30460266042266965,0.0030445343208820312,1.005464411261949e-07,3.5014254220757484e-09,5.692969942114161e-10,1.140943787178339e-11,8.265346524870419e-09,0.9797597176070939,True,,0.05063276,120.0006,2.66425e-07,4.360674e-06
接着第一个立刻做的,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/接着第一个立刻做的.csv,beta,1.0,120.0006,2381,2.721614459916298e-07,1.9298860146751963e-09,0.33565977220574067,0.0035613328156829,2.0603587213199835e-07,1.457831243115321e-09,,,1.0168628629073363e-08,0.9455419071819596,True,,0.05063276,120.0006,2.66425e-07,4.360674e-06
接着第一个立刻做的,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/接着第一个立刻做的.csv,beta_plus_linear_drift,1.0,120.0006,2381,5.139249086659728e-07,7.865158577679404e-09,0.17691294963745213,0.0032432850534832923,-1.5175470232108706e-08,7.700810217344697e-09,5.948423005640675e-10,1.0077041931249162e-11,5.679712561970075e-09,0.9830101177243051,True,,0.05063276,120.0006,2.66425e-07,4.360674e-06
接着第一个立刻做的,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/接着第一个立刻做的.csv,beta,2.0,120.0006,2361,2.303678122498125e-07,2.314857112790892e-09,0.2432593058263921,0.004066647533605121,1.9014066406264463e-07,2.224409610972276e-09,,,7.642177991732595e-09,0.9415813523537193,True,,0.05063276,120.0006,2.66425e-07,4.360674e-06
接着第一个立刻做的,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/接着第一个立刻做的.csv,beta_plus_linear_drift,2.0,120.0006,2361,2.7323699844634285e-06,4.858695582429391e-07,0.018663704682726687,0.003404944948588447,-2.298878638405046e-06,4.859332739536449e-07,6.305091811297919e-10,8.863752493950476e-12,3.4289892646025593e-09,0.9882388590974248,True,,0.05063276,120.0006,2.66425e-07,4.360674e-06
接着第一个立刻做的,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/接着第一个立刻做的.csv,beta,5.0,120.0006,2301,2.2753883860224832e-07,8.112473663018236e-09,0.11267821547398592,0.005491016241298281,1.3129035675026433e-07,8.316799446152587e-09,,,5.295167577857856e-09,0.9271125716106009,True,,0.05063276,120.0006,2.66425e-07,4.360674e-06
接着第一个立刻做的,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/接着第一个立刻做的.csv,beta_plus_linear_drift,5.0,120.0006,2301,0.004019316696608346,2.1328284345698154e-10,6.751397040555845e-06,3.7327535660702013e-08,-0.004018949851653265,1.5590821544264018e-10,2.833553823458337e-10,4.48114387312176e-12,3.515375847030162e-09,0.9678754732165504,True,,0.05063276,120.0006,2.66425e-07,4.360674e-06
新的第一个,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/新的第一个.csv,beta,0.2,120.0006,2397,1.4767238931303056e-06,4.5759948426323e-09,0.4292926193150906,0.0015895761797413762,1.2291046460067413e-07,2.4958863449361312e-09,,,2.9481646081229184e-08,0.9872933772598956,True,,0.05063566,120.0006,3.01748e-07,1.090168e-05
新的第一个,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/新的第一个.csv,beta_plus_linear_drift,0.2,120.0006,2397,1.4919469578504503e-06,8.783270397249858e-09,0.42555743003700963,0.0024469960405889345,1.1147141820606353e-07,6.184640190956186e-09,6.947693213384018e-11,3.333973325658722e-11,2.94527345356627e-08,0.9873182868574988,True,,0.05063566,120.0006,3.01748e-07,1.090168e-05
新的第一个,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/新的第一个.csv,beta,0.5,120.0006,2391,1.3702251038821322e-06,5.317983624541798e-09,0.3036502301625593,0.001869495397664878,-1.5405897746922185e-08,4.43529108197422e-09,,,2.4952675047868175e-08,0.9851260572288716,True,,0.05063566,120.0006,3.01748e-07,1.090168e-05
